case,frequency_real,frequency_imag,v(out)_real,v(out)_imag,v(vn)_real,v(vn)_imag,v(sum)_real,v(sum)_imag,v(vp)_real,v(vp)_imag,i(vp)_real,i(vp)_imag,i(iin)_real,i(iin)_imag,i(rf)_real,i(rf)_imag,i(cf)_real,i(cf)_imag,i(vn)_real,i(vn)_imag,i(ci)_real,i(ci)_imag
1,103.9122303835166,0.0,-99999.86325113015,66.33193604849724,0.0,0.0,0.1009085823025089,1.041216576827765,0.0,0.0,0.4994989942942993,3.290162893243576e-07,1.0,0.0,-0.9999996415971246,0.0006529071947166948,-4.262829763149943e-07,-0.000652899565180806,0.4994989942942993,3.290162893243576e-07,-6.798100939157872e-08,6.588319312104548e-09
1,107.9775162327706,0.0,-99999.86033767412,68.92699260756824,0.0,0.0,0.1009636738890549,1.081951336586144,0.0,0.0,0.4994989970227834,3.418862872806017e-07,1.0,0.0,-0.9999996130134802,0.000678450412709821,-4.602897593272118e-07,-0.0006784424809512931,0.4994989970227834,3.418862872806017e-07,-7.34042033126443e-08,6.849807190707818e-09
1,112.201845430196,0.0,-99999.85719179688,71.62357356295038,0.0,0.0,0.1010231603868306,1.124279730147123,0.0,0.0,0.4994989999640893,3.55259561324317e-07,1.0,0.0,-0.9999995821495727,0.0007049929383280327,-4.970094372123191e-07,-0.0007049846920671643,0.4994989999640893,3.55259561324317e-07,-7.92600330543511e-08,7.121981137619014e-09
1,116.5914401179828,0.0,-99999.85379495687,74.42565075914591,0.0,0.0,0.101087392467889,1.168264103666615,0.0,0.0,0.4994990031436828,3.691557708407345e-07,1.0,0.0,-0.9999995488234935,0.000732573866554793,-5.366584313068166e-07,-0.0007325652929758189,0.4994990031436828,3.691557708407345e-07,-8.558301215061112e-08,7.405314869044164e-09
1,121.1527658628584,0.0,-99999.85012713364,77.33735142546277,0.0,0.0,0.1011567486420972,1.21396924236933,0.0,0.0,0.4994990065733873,3.835953448216856e-07,1.0,0.0,-0.9999995128388229,0.0007612338218309345,-5.794704279459385e-07,-0.000761224907554278,0.4994990065733873,3.835953448216856e-07,-9.24104074483959e-08,7.700307414648002e-09
1,125.8925411794163,0.0,-99999.84616670942,80.36296425467381,0.0,0.0,0.1012316377164098,1.261462465962836,0.0,0.0,0.4994990102813972,3.985995036259737e-07,1.0,0.0,-0.9999994739834714,0.0007910150178871098,-6.25697755773699e-07,-0.0007910057489396924,0.4994990102813972,3.985995036259737e-07,-9.978245875204704e-08,8.00748495289547e-09
1,130.8177474260189,0.0,-99999.841890342,83.50694571944076,0.0,0.0,0.1013125010649674,1.310813727784762,0.0,0.0,0.4994990142831739,4.141902971710465e-07,1.0,0.0,-0.9999994320284307,0.0008219613199165601,-6.756128729267053e-07,-0.0008219516817000406,0.4994990142831739,4.141902971710465e-07,-1.077426159895611e-07,8.327402792486742e-09
1,135.9356390878521,0.0,-99999.83727282698,86.77392663580464,0.0,0.0,0.1013998152920976,1.362095717827629,0.0,0.0,0.4994990186041832,4.303906306901695e-07,1.0,0.0,-0.9999993867264227,0.0008541183091797702,-7.295099728567594e-07,-0.0008541082864364936,0.4994990186041832,4.303906306901695e-07,-1.163377952985201e-07,8.660647559757358e-09
1,141.2537544622749,0.0,-99999.83228694928,90.16871898340045,0.0,0.0,0.1014940950262826,1.415383969792515,0.0,0.0,0.499499023269891,4.472243011477417e-07,1.0,0.0,-0.9999993378104431,0.0008875333501360794,-7.877067182564066e-07,-0.0008875229269125158,0.499499023269891,4.472243011477417e-07,-1.256186555408927e-07,9.007839593103644e-09
1,146.7799267622064,0.0,-99999.82690332283,93.69632299243338,0.0,0.0,0.1015958959469572,1.470756972331856,0.0,0.0,0.4994990283066727,4.647160318782539e-07,1.0,0.0,-0.9999992849921878,0.0009222556602010154,-8.50546113306541e-07,-0.0009222448198084684,0.4994990283066727,4.647160318782539e-07,-1.3563989687661e-07,9.369635574450777e-09
1,152.5222956539013,0.0,-99999.82109021717,97.36193450784621,0.0,0.0,0.1017058180150343,1.528296284641101,0.0,0.0,0.499499033745451,4.828915045607118e-07,1.0,0.0,-0.9999992279603519,0.0009583363822320512,-9.18398525280428e-07,-0.000958325107204344,0.499499033745451,4.828915045607118e-07,-1.464605831552454e-07,9.74673142011942e-09
1,158.4893192461107,0.0,-99999.81481337063,101.1709526415091,0.0,0.0,0.1018245091545396,1.58808665656943,0.0,0.0,0.4994990396198773,5.017773956339511e-07,1.0,0.0,-0.9999991663787979,0.0009958286598493972,-9.916638674186097e-07,-0.0009958169318972578,0.4994990396198773,5.017773956339511e-07,-1.581444900257943e-07,1.013986548262864e-08
