case,frequency_real,frequency_imag,v(base)_real,v(base)_imag,v(col)_real,v(col)_imag,v(out)_real,v(out)_imag,v(em)_real,v(em)_imag,v(vcc)_real,v(vcc)_imag,i(vcc)_real,i(vcc)_imag,i(vin)_real,i(vin)_imag,i(rc)_real,i(rc)_imag,i(co)_real,i(co)_imag,i(vb)_real,i(vb)_imag,ic(q1)_real,ic(q1)_imag,ib(q1)_real,ib(q1)_imag,i(rl)_real,i(rl)_imag
1,31.62277660168374,0.0,0.0,0.0,34.20608205182027,-0.001701901667153824,34.20522418890688,0.170450296661349,1.0,0.0,0.0,0.0,0.03420608205182028,-1.701901667153824e-06,-0.03475960394269453,-1.912453960062865e-08,-0.03420608205182028,1.701901667153824e-06,0.0003420522418890689,1.704502966609523e-06,0.0002114696489851827,1.652324014043291e-08,-0.03454813429370934,-2.601299460195732e-09,-0.0002114696489851839,-1.652324014043291e-08,0.0003420522418890689,1.70450296661349e-06
1,32.85993247600649,0.0,0.0,0.0,34.20608142932523,-0.001638685798613438,34.20528694910641,0.1640323940735687,1.0,0.0,0.0,0.0,0.03420608142932523,-1.638685798613438e-06,-0.03475960394780177,-1.880780939581488e-08,-0.03420608142932523,1.638685798613438e-06,0.0003420528694910641,1.640323940736169e-06,0.0002114696489854783,1.716966727680527e-08,-0.03454813429881629,-1.63814211900961e-09,-0.0002114696489854823,-1.716966727680528e-08,0.0003420528694910641,1.640323940735687e-06
1,34.14548873833596,0.0,0.0,0.0,34.20608085281882,-0.001577883158494886,34.20534507270794,0.1578560552514545,1.0,0.0,0.0,0.0,0.03420608085281882,-1.577883158494886e-06,-0.03475960395253171,-1.851877816034832e-08,-0.03420608085281882,1.577883158494886e-06,0.0003420534507270793,1.578560552509351e-06,0.0002114696489857975,1.784138413520431e-08,-0.0345481343035459,-6.773940251440092e-10,-0.0002114696489858015,-1.784138413520431e-08,0.0003420534507270794,1.578560552514545e-06
1,35.48133892335748,0.0,0.0,0.0,34.20608031890366,-0.001519404236718162,34.20539890224001,0.1519121877187312,1.0,0.0,0.0,0.0,0.03420608031890366,-1.519404236718162e-06,-0.0347596039569122,-1.82570205649271e-08,-0.03420608031890366,1.519404236718162e-06,0.0003420539890224,1.519121877172105e-06,0.0002114696489861421,1.853938010769899e-08,-0.03454813430792606,2.823595427718809e-10,-0.0002114696489861415,-1.853938010769899e-08,0.0003420539890224001,1.519121877187312e-06
1,36.86945064519569,0.0,0.0,0.0,34.20607982443327,-0.001463162940752034,34.20544875492882,0.1461920408867241,1.0,0.0,0.0,0.0,0.03420607982443327,-1.463162940752034e-06,-0.03475960396096907,-1.802215141036041e-08,-0.03420607982443327,1.463162940752034e-06,0.0003420544875492882,1.461920408880431e-06,0.0002114696489865141,1.926468329365989e-08,-0.03454813431198255,1.242531883299488e-09,-0.0002114696489865162,-1.926468329365989e-08,0.0003420544875492882,1.461920408867241e-06
1,38.31186849557281,0.0,0.0,0.0,34.20607936649363,-0.001409076469183568,34.20549492456714,0.1406871932227707,1.0,0.0,0.0,0.0,0.03420607936649363,-1.409076469183568e-06,-0.03475960396472623,-1.781382506329663e-08,-0.03420607936649363,1.409076469183568e-06,0.0003420549492456714,1.406871932222876e-06,0.0002114696489869158,2.001836201407794e-08,-0.03454813431573931,2.204536950781321e-09,-0.0002114696489869186,-2.001836201407795e-08,0.0003420549492456714,1.406871932227707e-06
1,39.81071705534965,0.0,0.0,0.0,34.206078942386,-0.001357065190402845,34.20553768324496,0.1353895398967564,1.0,0.0,0.0,0.0,0.034206078942386,-1.357065190402845e-06,-0.03475960396820581,-1.763173495242493e-08,-0.034206078942386,1.357065190402845e-06,0.0003420553768324496,1.353895398983138e-06,0.0002114696489873494,2.080152638512662e-08,-0.03454813431921845,3.169791432701693e-09,-0.0002114696489873558,-2.080152638512662e-08,0.0003420553768324496,1.353895398967564e-06
1,41.36820402388499,0.0,0.0,0.0,34.20607854961098,-0.001307052525717979,34.20557728295258,0.1302912808887692,1.0,0.0,0.0,0.0,0.03420607854961098,-1.307052525717979e-06,-0.03475960397142832,-1.74756131202549e-08,-0.03420607854961098,1.307052525717979e-06,0.0003420557728295258,1.302912808887168e-06,0.0002114696489878176,2.161532995328567e-08,-0.0345481343224405,4.139716833030773e-09,-0.0002114696489878137,-2.161532995328567e-08,0.0003420557728295258,1.302912808887692e-06
1,42.98662347082268,0.0,0.0,0.0,34.20607818585378,-0.001258964836973148,34.20561395706512,0.1253849095407195,1.0,0.0,0.0,0.0,0.03420607818585378,-1.258964836973148e-06,-0.03475960397441276,-1.734522983182311e-08,-0.03420607818585378,1.258964836973148e-06,0.0003420561395706513,1.253849095396709e-06,0.0002114696489883231,2.246097139443458e-08,-0.03454813432542443,5.115741562611477e-09,-0.0002114696489883203,-2.246097139443458e-08,0.0003420561395706512,1.253849095407195e-06
1,44.66835921509622,0.0,0.0,0.0,34.20607784897066,-0.001212731318392699,34.20564792171765,0.1206632015357184,1.0,0.0,0.0,0.0,0.03420607784897066,-1.212731318392699e-06,-0.03475960397717671,-1.724039323883629e-08,-0.03420607784897066,1.212731318392699e-06,0.0003420564792171765,1.206632015361259e-06,0.0002114696489888689,2.333969627941853e-08,-0.03454813432818783,6.099303040582235e-09,-0.0002114696489888684,-2.333969627941853e-08,0.0003420564792171765,1.206632015357184e-06
