case,frequency_real,frequency_imag,v(buf)_real,v(buf)_imag,v(hp)_real,v(hp)_imag,v(vn)_real,v(vn)_imag,v(in)_real,v(in)_imag,v(out)_real,v(out)_imag,v(vp)_real,v(vp)_imag,i(vp)_real,i(vp)_imag,i(vin)_real,i(vin)_imag,i(rh)_real,i(rh)_imag,i(rl)_real,i(rl)_imag,i(vn)_real,i(vn)_imag,i(ch)_real,i(ch)_imag,i(cl)_real,i(cl)_imag
1,3.981071705534965,0.0,0.0006252963559700157,0.02499789515720918,0.000625287010999262,0.02499792045657274,0.0,0.0,1.0,0.0,0.0006315492427649223,0.02499773718267366,0.0,0.0,3.160896296563868e-10,1.298373986449719e-10,-6.25293263869372e-08,-2.49981704357773e-06,6.25287010999262e-08,2.499792045657274e-06,-6.252886794906598e-10,1.57974535515415e-11,3.160896296563868e-10,1.298373986449719e-10,6.25293263869372e-08,2.49981704357773e-06,-6.252886794906543e-10,1.579745355173639e-11
1,4.136820402388499,0.0,0.0006751457963961331,0.02597457471269354,0.0006751357064321352,0.0259746010211906,0.0,0.0,1.0,0.0,0.0006818971680664764,0.0259743974711915,0.0,0.0,3.41288536440023e-10,1.342554659024969e-10,-6.751424577891995e-08,-2.597486076720081e-06,6.751357064321352e-08,2.59746010211906e-06,-6.75137167034331e-10,1.772415020480367e-11,3.41288536440023e-10,1.342554659024969e-10,6.751424577891995e-08,2.597486076720081e-06,-6.75137167034336e-10,1.772415020474464e-11
1,4.298662347082268,0.0,0.000728966400452983,0.02698930627471316,0.0007289555061472302,0.02698933363418386,0.0,0.0,1.0,0.0,0.0007362559673103968,0.02698910741718836,0.0,0.0,3.684948393108513e-10,1.387657430369088e-10,-7.289627957022917e-08,-2.69896035275202e-06,7.289555061472303e-08,2.698933363418386e-06,-7.289566857413823e-10,1.988575248079716e-11,3.684948393108513e-10,1.387657430369088e-10,7.289627957022917e-08,2.69896035275202e-06,-7.289566857413823e-10,1.988575248124356e-11
1,4.466835921509622,0.0,0.0007870740430227759,0.02804355928475503,0.0007870622803060493,0.02804358773896394,0.0,0.0,1.0,0.0,0.000794944673928486,0.02804333617591806,0.0,0.0,3.978682061952675e-10,1.433620158350357e-10,-7.870701509288522e-08,-2.804386817484132e-06,7.870622803060493e-08,2.804358773896394e-06,-7.870630905710153e-10,2.231088369712697e-11,3.978682061952675e-10,1.433620158350357e-10,7.870701509288522e-08,2.804386817484133e-06,-7.870630905710143e-10,2.231088369694084e-11
1,4.641588833612769,0.0,0.0008498096447028742,0.02913885833125741,0.0008497969444109425,0.02913888792600384,0.0,0.0,1.0,0.0,0.0008583076174934623,0.02913860801474347,0.0,0.0,4.295809642658769e-10,1.480366300463803e-10,-8.498054423803865e-08,-2.91391793148831e-06,8.497969444109425e-08,2.913888792600384e-06,-8.497972790588098e-10,2.503165139437769e-11,4.295809642658769e-10,1.480366300463803e-10,8.498054423803865e-08,2.91391793148831e-06,-8.497972790588125e-10,2.503165139434056e-11
1,4.823178482239296,0.0,0.0009175411444750699,0.03027678502286362,0.0009175274319449031,0.03027681580610041,0.0,0.0,1.0,0.0,0.000926716416109862,0.03027650418215641,0.0,0.0,4.638190969670367e-10,1.527802927572819e-10,-9.175366072192226e-08,-3.027711857425847e-06,9.175274319449031e-08,3.027681580610042e-06,-9.175271634792073e-10,2.808407072105168e-11,4.638190969670367e-10,1.527802927572819e-10,9.175366072192226e-08,3.027711857425847e-06,-9.175271634792292e-10,2.808407072055694e-11
1,5.011872336272711,0.0,0.000990665625556028,0.03145897990058112,0.00099065082019024,0.0314590119225429,0.0,0.0,1.0,0.0,0.001000572123517093,0.03145866481519019,0.0,0.0,5.00783318303354e-10,1.575818449253003e-10,-9.906607266984417e-08,-3.145932651266212e-06,9.9065082019024e-08,3.14590119225429e-06,-9.906497961065024e-10,3.15085390931169e-11,5.00783318303354e-10,1.575818449253003e-10,9.906607266984417e-08,3.145932651266212e-06,-9.906497961064981e-10,3.150853909328768e-11
1,5.207948328595451,0.0,0.001069611605958665,0.03268714438623617,0.001069595620755726,0.03268717769957795,0.0,0.0,1.0,0.0,0.001080307542549566,0.03268679088255282,0.0,0.0,5.406902304016885e-10,1.624280048569821e-10,-1.069606316711933e-07,-3.268750457135494e-06,1.069595620755726e-07,3.268717769957795e-06,-1.069593659090121e-09,3.535036833465788e-11,5.406902304016885e-10,1.624280048569821e-10,1.069606316711933e-07,3.268750457135494e-06,-1.069593659090119e-09,3.535036833472108e-11
1,5.411695265464624,0.0,0.001154841506100712,0.03396304276402129,0.00115482424714828,0.03396307742396849,0.0,0.0,1.0,0.0,0.001166389717413365,0.03396264616020939,0.0,0.0,5.837735705740434e-10,1.673030828458488e-10,-1.154835795390752e-07,-3.396341705474274e-06,1.15482424714828e-07,3.39630774239685e-06,-1.154821131265347e-09,3.966038119029847e-11,5.837735705740434e-10,1.673030828458488e-10,1.154835795390752e-07,3.396341705474274e-06,-1.154821131265353e-09,3.966038119072384e-11
1,5.623413251903477,0.0,0.001246854306649006,0.03528850419125939,0.001246835672577541,0.03528854025577041,0.0,0.0,1.0,0.0,0.001259322618099694,0.03528805923545962,0.0,0.0,6.302855543120203e-10,1.72188655261224e-10,-1.246848140934266e-07,-3.528889314117297e-06,1.246835672577541e-07,3.528854025577041e-06,-1.246831145068866e-09,4.449557997679432e-11,6.302855543120203e-10,1.72188655261224e-10,1.246848140934266e-07,3.528889314117297e-06,-1.246831145068869e-09,4.449557997676935e-11
