case,time,v(limit),v(clamp),v(in),i(vin),i(dp),i(cc),i(dc),i(rs),i(dn),i(rl)
2,0.00832863611887118,0.6085954274284604,5.003329213923957,2.641208549768889,-0.002082609894885975,0.002032612644726761,4.999677244693634e-05,3.651968879287011e-08,0.002032613122340429,-4.776137966487128e-10,5.003329213923957e-05
2,0.00832963611887118,0.6084029817339803,4.993838686698149,2.632217513493227,-0.002073715949434494,0.00202381404294405,4.99014175747714e-05,3.696928845816118e-08,0.002023814531759247,-4.888154058105362e-10,4.99383868669815e-05
2,0.00833063611887118,0.6082074843381994,4.984245202748241,2.623122561777211,-0.002064720106737308,0.002014914648135191,4.980502919604834e-05,3.742282778379576e-08,0.002014915077439011,-4.293037256731609e-10,4.984245202748242e-05
2,0.008331636118871178,0.6080089072226667,4.974549131400314,2.613924053673962,-0.002055622766287572,0.002005914706396106,4.970761973216442e-05,3.7871578328449e-08,0.002005915146451295,-4.400541684425137e-10,4.974549131400315e-05
2,0.008332636118871178,0.6078072217311025,4.964750846031509,2.604622352324848,-0.002046424314899217,0.001996814750511167,4.960918419932847e-05,3.83242575875439e-08,0.001996815130593746,-3.800818997108627e-10,4.96475084603151e-05
2,0.008333636118871177,0.6076023984402988,4.954850724055203,2.595217824945073,-0.002037125161712669,0.001987615036145862,4.950973509981749e-05,3.877213717449937e-08,0.001987615426504774,-3.903585088275084e-10,4.954850724055203e-05
2,0.008334636118871176,0.6073944072520768,4.944849146906233,2.585710842809294,-0.002027725703198533,0.001978316105654687,4.940926753110864e-05,3.92239345232099e-08,0.001978316435557217,-3.299023823820842e-10,4.944849146906233e-05
2,0.008335636118871175,0.6071832172627951,4.934746500025747,2.576101781236876,-0.002018226358161806,0.001968918224292682,4.930779407530395e-05,3.967092130208381e-08,0.001968918563974081,-3.39681263876673e-10,4.934746500025747e-05
2,0.008336636118871175,0.6069687968538572,4.924543172846045,2.566391019577138,-0.002008627532748028,0.001959421944006667,4.920530991020522e-05,4.012181488352946e-08,0.001959422222723281,-2.787167377319225e-10,4.924543172846046e-05
2,0.008337636118871174,0.6067511135597745,4.914239558775147,2.556578941194312,-0.00199892965544872,0.00194982753966122,4.910182769718441e-05,4.056788699021609e-08,0.001949827827634538,-2.879726777417793e-10,4.914239558775148e-05
