case,frequency_real,frequency_imag,v(gate)_real,v(gate)_imag,v(source)_real,v(source)_imag,v(out)_real,v(out)_imag,v(vdd)_real,v(vdd)_imag,i(vdd)_real,i(vdd)_imag,id(m1)_real,id(m1)_imag,i(rs)_real,i(rs)_imag,i(vin)_real,i(vin)_imag,i(rd)_real,i(rd)_imag
1,121.1527658628584,0.0,1.0,0.0,0.781979191964708,-5.104038910740843e-06,-1.663785514821416,1.085965725691428e-05,0.0,0.0,-0.001663785514821416,1.085965725691428e-08,0.001663785514820493,-1.08596572569007e-08,0.001663785514818528,-1.085965725689541e-08,0.0,0.0,0.001663785514821416,-1.085965725691428e-08
1,125.8925411794163,0.0,1.0,0.0,0.7819791919620315,-5.303720671775492e-06,-1.663785514815906,1.12845120676283e-05,0.0,0.0,-0.001663785514815906,1.12845120676283e-08,0.001663785514813831,-1.128451206762281e-08,0.001663785514812833,-1.128451206760743e-08,0.0,0.0,0.001663785514815906,-1.12845120676283e-08
1,130.8177474260189,0.0,1.0,0.0,0.7819791919589926,-5.511214443334702e-06,-1.663785514811102,1.172598817734118e-05,0.0,0.0,-0.001663785514811102,1.172598817734118e-08,0.001663785514809391,-1.172598817732388e-08,0.001663785514806367,-1.172598817730788e-08,0.0,0.0,0.001663785514811102,-1.172598817734118e-08
1,135.9356390878521,0.0,1.0,0.0,0.781979191956168,-5.726825849262631e-06,-1.663785514802401,1.218473584950983e-05,0.0,0.0,-0.001663785514802401,1.218473584950983e-08,0.001663785514800509,-1.218473584950445e-08,0.001663785514800358,-1.218473584949496e-08,0.0,0.0,0.001663785514802401,-1.218473584950983e-08
1,141.2537544622749,0.0,1.0,0.0,0.78197919195271,-5.950872470124092e-06,-1.663785514796145,1.266143078752197e-05,0.0,0.0,-0.001663785514796145,1.266143078752197e-08,0.001663785514793847,-1.266143078750343e-08,0.001663785514793,-1.266143078749807e-08,0.0,0.0,0.001663785514796145,-1.266143078752197e-08
1,146.7799267622064,0.0,1.0,0.0,0.7819791919491736,-6.183684310955368e-06,-1.66378551478787,1.315677512971125e-05,0.0,0.0,-0.00166378551478787,1.315677512971125e-08,0.001663785514787186,-1.315677512969403e-08,0.001663785514785476,-1.315677512969227e-08,0.0,0.0,0.00166378551478787,-1.315677512971125e-08
1,152.5222956539013,0.0,1.0,0.0,0.781979191945253,-6.425604287357469e-06,-1.663785514779722,1.367149848376053e-05,0.0,0.0,-0.001663785514779722,1.367149848376053e-08,0.001663785514778304,-1.367149848374488e-08,0.001663785514777134,-1.36714984837393e-08,0.0,0.0,0.001663785514779722,-1.367149848376053e-08
1,158.4893192461107,0.0,1.0,0.0,0.7819791919411954,-6.676988730574564e-06,-1.663785514769573,1.420635900123161e-05,0.0,0.0,-0.001663785514769573,1.420635900123161e-08,0.001663785514767202,-1.420635900121686e-08,0.001663785514768501,-1.420635900122248e-08,0.0,0.0,0.001663785514769573,-1.420635900123161e-08
1,164.6897865482862,0.0,1.0,0.0,0.781979191936526,-6.938207912356967e-06,-1.663785514760829,1.476214449439661e-05,0.0,0.0,-0.001663785514760829,1.476214449439661e-08,0.00166378551475832,-1.476214449437602e-08,0.001663785514758566,-1.476214449437653e-08,0.0,0.0,0.001663785514760829,-1.476214449439661e-08
1,171.1328304161774,0.0,1.0,0.0,0.7819791919316043,-7.209646590330606e-06,-1.663785514750461,1.533967359646991e-05,0.0,0.0,-0.001663785514750461,1.533967359646991e-08,0.001663785514749438,-1.533967359645933e-08,0.001663785514748094,-1.53396735964481e-08,0.0,0.0,0.001663785514750461,-1.533967359646991e-08
1,177.8279410038916,0.0,1.0,0.0,0.7819791919262067,-7.491704574731945e-06,-1.663785514739908,1.593979696754641e-05,0.0,0.0,-0.001663785514739908,1.593979696754642e-08,0.001663785514738336,-1.59397969675277e-08,0.00166378551473661,-1.593979696751477e-08,0.0,0.0,0.001663785514739908,-1.593979696754642e-08
1,184.7849797422283,0.0,1.0,0.0,0.7819791919207998,-7.784797317287308e-06,-1.663785514725274,1.656339854742158e-05,0.0,0.0,-0.001663785514725274,1.656339854742158e-08,0.001663785514722793,-1.656339854741408e-08,0.001663785514725106,-1.65633985474198e-08,0.0,0.0,0.001663785514725274,-1.656339854742158e-08
1,192.0141938638794,0.0,1.0,0.0,0.7819791919144152,-8.089356523167867e-06,-1.663785514713672,1.721139685782624e-05,0.0,0.0,-0.001663785514713672,1.721139685782624e-08,0.001663785514711691,-1.721139685779944e-08,0.001663785514711522,-1.721139685780398e-08,0.0,0.0,0.001663785514713672,-1.721139685782624e-08
1,199.5262314968871,0.0,1.0,0.0,0.7819791919079047,-8.405830786824465e-06,-1.6637855146982,1.788474635495137e-05,0.0,0.0,-0.0016637855146982,1.788474635495137e-08,0.001663785514696148,-1.788474635492439e-08,0.00166378551469767,-1.788474635494567e-08,0.0,0.0,0.0016637855146982,-1.788474635495137e-08
1,207.3321573485946,0.0,1.0,0.0,0.7819791919005393,-8.73468625277511e-06,-1.66378551468407,1.858443883571495e-05,0.0,0.0,-0.00166378551468407,1.858443883571495e-08,0.001663785514682825,-1.858443883569774e-08,0.001663785514681998,-1.858443883569173e-08,0.0,0.0,0.00166378551468407,-1.858443883571495e-08
1,215.4434690031875,0.0,1.0,0.0,0.7819791918928408,-9.076407302169596e-06,-1.663785514666857,1.931150489824752e-05,0.0,0.0,-0.001663785514666857,1.931150489824752e-08,0.001663785514665062,-1.931150489821849e-08,0.001663785514665619,-1.931150489823318e-08,0.0,0.0,0.001663785514666857,-1.931150489824752e-08
