case,time,v(out),v(raw),v(vn),v(in),v(vp),i(vp),i(vin),i(riso),i(rl),i(vn),i(cl)
1,7.315535998849932e-07,0.0,0.0,-12.0,0.0,12.0,-0.001147521660737039,0.0,0.0,0.0,0.001147521660737039,0.0
1,7.365535998849931e-07,0.0,0.0,-12.0,0.0,12.0,-0.001147521660737039,0.0,0.0,0.0,0.001147521660737039,0.0
1,7.415535998849931e-07,0.0,0.0,-12.0,0.0,12.0,-0.001147521660737039,0.0,0.0,0.0,0.001147521660737039,0.0
1,7.46553599884993e-07,0.0,0.0,-12.0,0.0,12.0,-0.001147521660737039,0.0,0.0,0.0,0.001147521660737039,0.0
1,7.51553599884993e-07,0.0,0.0,-12.0,0.0,12.0,-0.001147521660737039,0.0,0.0,0.0,0.001147521660737039,0.0
1,7.56553599884993e-07,0.0,0.0,-12.0,0.0,12.0,-0.001147521660737039,0.0,0.0,0.0,0.001147521660737039,0.0
1,7.615535998849929e-07,0.0,0.0,-12.0,0.0,12.0,-0.001147521660737039,0.0,0.0,0.0,0.001147521660737039,0.0
1,7.665535998849929e-07,0.0,0.0,-12.0,0.0,12.0,-0.001147521660737039,0.0,0.0,0.0,0.001147521660737039,0.0
1,7.715535998849928e-07,0.0,0.0,-12.0,0.0,12.0,-0.001147521660737039,0.0,0.0,0.0,0.001147521660737039,0.0
1,7.765535998849928e-07,0.0,0.0,-12.0,0.0,12.0,-0.001147521660737039,0.0,0.0,0.0,0.001147521660737039,0.0
1,7.815535998849927e-07,0.0,0.0,-12.0,0.0,12.0,-0.001147521660737039,0.0,0.0,0.0,0.001147521660737039,0.0
1,7.865535998849927e-07,0.0,0.0,-12.0,0.0,12.0,-0.001147521660737039,0.0,0.0,0.0,0.001147521660737039,0.0
1,7.915535998849926e-07,0.0,0.0,-12.0,0.0,12.0,-0.001147521660737039,0.0,0.0,0.0,0.001147521660737039,0.0
1,7.965535998849926e-07,0.0,0.0,-12.0,0.0,12.0,-0.001147521660737039,0.0,0.0,0.0,0.001147521660737039,0.0
1,8.015535998849925e-07,0.0,0.0,-12.0,0.0,12.0,-0.001147521660737039,0.0,0.0,0.0,0.001147521660737039,0.0
1,8.065535998849925e-07,0.0,0.0,-12.0,0.0,12.0,-0.001147521660737039,0.0,0.0,0.0,0.001147521660737039,0.0
1,8.115535998849924e-07,0.0,0.0,-12.0,0.0,12.0,-0.001147521660737039,0.0,0.0,0.0,0.001147521660737039,0.0
1,8.165535998849924e-07,0.0,0.0,-12.0,0.0,12.0,-0.001147521660737039,0.0,0.0,0.0,0.001147521660737039,0.0
1,8.215535998849923e-07,0.0,0.0,-12.0,0.0,12.0,-0.001147521660737039,0.0,0.0,0.0,0.001147521660737039,0.0
1,8.265535998849923e-07,0.0,0.0,-12.0,0.0,12.0,-0.001147521660737039,0.0,0.0,0.0,0.001147521660737039,0.0
1,8.315535998849922e-07,0.0,0.0,-12.0,0.0,12.0,-0.001147521660737039,0.0,0.0,0.0,0.001147521660737039,0.0
1,8.365535998849922e-07,0.0,0.0,-12.0,0.0,12.0,-0.001147521660737039,0.0,0.0,0.0,0.001147521660737039,0.0
1,8.415535998849921e-07,0.0,0.0,-12.0,0.0,12.0,-0.001147521660737039,0.0,0.0,0.0,0.001147521660737039,0.0
1,8.465535998849921e-07,0.0,0.0,-12.0,0.0,12.0,-0.001147521660737039,0.0,0.0,0.0,0.001147521660737039,0.0
1,8.51553599884992e-07,0.0,0.0,-12.0,0.0,12.0,-0.001147521660737039,0.0,0.0,0.0,0.001147521660737039,0.0
1,8.56553599884992e-07,0.0,0.0,-12.0,0.0,12.0,-0.001147521660737039,0.0,0.0,0.0,0.001147521660737039,0.0
1,8.61553599884992e-07,0.0,0.0,-12.0,0.0,12.0,-0.001147521660737039,0.0,0.0,0.0,0.001147521660737039,0.0
1,8.665535998849919e-07,0.0,0.0,-12.0,0.0,12.0,-0.001147521660737039,0.0,0.0,0.0,0.001147521660737039,0.0
1,8.715535998849919e-07,0.0,0.0,-12.0,0.0,12.0,-0.001147521660737039,0.0,0.0,0.0,0.001147521660737039,0.0
1,8.765535998849918e-07,0.0,0.0,-12.0,0.0,12.0,-0.001147521660737039,0.0,0.0,0.0,0.001147521660737039,0.0
1,8.815535998849918e-07,0.0,0.0,-12.0,0.0,12.0,-0.001147521660737039,0.0,0.0,0.0,0.001147521660737039,0.0
1,8.865535998849917e-07,0.0,0.0,-12.0,0.0,12.0,-0.001147521660737039,0.0,0.0,0.0,0.001147521660737039,0.0
1,8.915535998849917e-07,0.0,0.0,-12.0,0.0,12.0,-0.001147521660737039,0.0,0.0,0.0,0.001147521660737039,0.0
