case,frequency_real,frequency_imag,v(gate)_real,v(gate)_imag,v(out)_real,v(out)_imag,v(vdd)_real,v(vdd)_imag,i(vdd)_real,i(vdd)_imag,id(j1)_real,id(j1)_imag,i(vin)_real,i(vin)_imag,i(rs)_real,i(rs)_imag
1,261.0157215682525,0.0,1.0,0.0,0.7186588323797436,2.695213804265571e-07,0.0,0.0,-0.001529061344205501,2.970170731344741e-09,0.001529061344205501,-2.970170731344741e-09,-1.283315381907758e-12,-3.543620476933162e-09,0.001529061345488816,5.734497455884193e-10
1,271.2272579332016,0.0,1.0,0.0,0.7186588323797642,2.800656777616586e-07,0.0,0.0,-0.001529061344205386,3.086370653138623e-09,0.001529061344205387,-3.086370653138623e-09,-1.283472827986225e-12,-3.68225507390811e-09,0.00152906134548886,5.958844207694864e-10
1,281.8382931264441,0.0,1.0,0.0,0.7186588323797866,2.910224923008298e-07,0.0,0.0,-0.001529061344205263,3.207116583578535e-09,0.001529061344205264,-3.207116583578535e-09,-1.283642834351158e-12,-3.82631337570796e-09,0.001529061345488908,6.191967921294251e-10
1,292.8644564625223,0.0,1.0,0.0,0.7186588323798105,3.024079626674653e-07,0.0,0.0,-0.001529061344205131,3.332586372995962e-09,0.001529061344205132,-3.332586372995962e-09,-1.283826403001452e-12,-3.976007570160782e-09,0.001529061345488959,6.434211971648197e-10
1,304.3219887107707,0.0,1.0,0.0,0.7186588323798365,3.142388588650874e-07,0.0,0.0,-0.001529061344204988,3.462964829637094e-09,0.001529061344204988,-3.462964829637094e-09,-1.284024615870621e-12,-4.131558146371322e-09,0.001529061345489014,6.685933167342285e-10
1,316.2277660168364,0.0,1.0,0.0,0.7186588323798645,3.265326069783916e-07,0.0,0.0,-0.001529061344204834,3.598443991872483e-09,0.001529061344204834,-3.598443991872483e-09,-1.284238641203603e-12,-4.293194219486081e-09,0.001529061345489074,6.947502276135992e-10
1,328.5993247600638,0.0,1.0,0.0,0.7186588323798946,3.393073148406538e-07,0.0,0.0,-0.001529061344204667,3.739223411056155e-09,0.001529061344204668,-3.739223411056156e-09,-1.284469740442266e-12,-4.46115386816393e-09,0.001529061345489137,7.219304571077739e-10
1,341.4548873833585,0.0,1.0,0.0,0.7186588323799273,3.525817987053045e-07,0.0,0.0,-0.001529061344204487,3.885510445450847e-09,0.001529061344204487,-3.885510445450848e-09,-1.284719275660207e-12,-4.635684485249367e-09,0.001529061345489207,7.501740397985202e-10
1,354.8133892335737,0.0,1.0,0.0,0.7186588323799625,3.663756109609576e-07,0.0,0.0,-0.001529061344204293,4.037520565652244e-09,0.001529061344204293,-4.037520565652245e-09,-1.284988717590666e-12,-4.817043142164922e-09,0.001529061345489282,7.795225765126758e-10
1,368.6945064519557,0.0,1.0,0.0,0.7186588323800006,3.807090689307165e-07,0.0,0.0,-0.001529061344204083,4.195477671962151e-09,0.001529061344204083,-4.195477671962151e-09,-1.285279654294865e-12,-5.005496967559422e-09,0.001529061345489363,8.100192955972692e-10
1,383.1186849557268,0.0,1.0,0.0,0.7186588323800417,3.956032847981705e-07,0.0,0.0,-0.001529061344203856,4.359614424178003e-09,0.001529061344203857,-4.359614424178004e-09,-1.285593800521868e-12,-5.201323540769857e-09,0.00152906134548945,8.417091165918522e-10
1,398.1071705534952,0.0,1.0,0.0,0.7186588323800861,4.110801967041706e-07,0.0,0.0,-0.001529061344203611,4.530172584284523e-09,0.001529061344203612,-4.530172584284523e-09,-1.285933007815126e-12,-5.404811300676376e-09,0.001529061345489545,8.746387163918523e-10
