case,time,v(b),v(plus),v(sum),v(vn),v(a),v(out),v(vp),i(vp),i(v1),i(r1),i(rf),i(r3),i(vn),i(v2),i(r2)
1,0.002049500000000006,0.0,0.01530130560289887,0.01529173050435885,-12.0,0.03060276421885376,0.03058361392602274,12.0,-0.001148282266308092,-1.53014586159549e-06,-1.529173050435885e-06,1.529188342166389e-06,1.530130560289887e-06,0.001146753415152823,1.529173050435884e-06,1.53014586159549e-06
1,0.0020505000000000063,0.0,0.01560008683398839,0.0155905305884909,-12.0,0.03120032966884513,0.03118121708228768,12.0,-0.001148297052414244,-1.560024283485674e-06,-1.55905305884909e-06,1.559068649379678e-06,1.56000868339884e-06,0.001146738327540178,1.559053058849091e-06,1.560024283485674e-06
1,0.0020515000000000064,0.0,0.01589825220036143,0.01588871518517569,-12.0,0.03179666338324487,0.03177758925750323,12.0,-0.00114831180515462,-1.589841118288344e-06,-1.588871518517569e-06,1.588887407232754e-06,1.589825220036143e-06,0.001146723268097547,1.588871518517572e-06,1.589841118288344e-06
1,0.0020525000000000066,0.0,0.01619578993095968,0.01618627252258617,-12.0,0.03239174181981867,0.03237270690789757,12.0,-0.00114832652396497,-1.619595188885899e-06,-1.618627252258617e-06,1.61864343853114e-06,1.619578993095968e-06,0.001146708237437611,1.618627252258616e-06,1.619595188885899e-06
1,0.0020535000000000067,0.0,0.01649268827950325,0.01648319085367679,-12.0,0.0329855414858893,0.03296654653926211,12.0,-0.001148341208282687,-1.649285320638605e-06,-1.648319085367679e-06,1.648335568558533e-06,1.649268827950325e-06,0.001146693236172223,1.648319085367678e-06,1.649285320638605e-06
1,0.002054500000000007,0.0,0.01678893552495339,0.01677945845661252,-12.0,0.03357803893926203,0.03355908470780961,12.0,-0.001148355857546824,-1.678910341430865e-06,-1.677945845661252e-06,1.677962625119709e-06,1.678893552495339e-06,0.001146678264912374,1.677945845661251e-06,1.678910341430864e-06
1,0.002055500000000007,0.0,0.01708451997197635,0.01707506363526245,-12.0,0.03416921078915242,0.03415029802116126,12.0,-0.001148370471198122,-1.708469081717607e-06,-1.707506363526245e-06,1.707523438589881e-06,1.708451997197635e-06,0.00114666332426817,1.707506363526247e-06,1.708469081717607e-06
1,0.002056500000000007,0.0,0.0173794299514042,0.01736999471963451,-12.0,0.03475903369710791,0.03474016313921622,12.0,-0.001148385048679021,-1.737960374570372e-06,-1.736999471963451e-06,1.737016841958171e-06,1.73794299514042e-06,0.001146648414848804,1.73699947196345e-06,1.737960374570372e-06
1,0.0020575000000000072,0.0,0.01767365382069584,0.01766424006635939,-12.0,0.03534748437792988,0.03532865677511944,12.0,-0.001148399589433682,-1.767383055723405e-06,-1.766424006635939e-06,1.766441670876005e-06,1.767365382069584e-06,0.001146633537262529,1.766424006635939e-06,1.767383055723405e-06
1,0.0020585000000000074,0.0,0.01796717996439694,0.0179577880591305,-12.0,0.03593453960059352,0.03591575569614161,12.0,-0.001148414092908005,-1.796735963619658e-06,-1.795778805913051e-06,1.795796763701111e-06,1.796717996439694e-06,0.001146618692116634,1.795778805913052e-06,1.796735963619658e-06
1,0.0020595000000000075,0.0,0.01825999679459753,0.01825062710917922,-12.0,0.03652017618916302,0.03650143672462953,12.0,-0.00114842855854965,-1.826017939456549e-06,-1.825062710917922e-06,1.825080961545031e-06,1.825999679459754e-06,0.00114660388001741,1.825062710917921e-06,1.826017939456549e-06
1,0.0020605000000000076,0.0,0.01855209275139105,0.01854274565571825,-12.0,0.03710437102370962,0.03708567673889306,12.0,-0.001148442985808053,-1.855227827231857e-06,-1.854274565571825e-06,1.854293108317482e-06,1.855209275139105e-06,0.001146589101570128,1.854274565571822e-06,1.855227827231857e-06
1,0.0020615000000000078,0.0,0.01884345630332885,0.01883413216641031,-12.0,0.03768710104122074,0.0376684526741423,12.0,-0.001148457374134446,-1.884364473789189e-06,-1.883413216641031e-06,1.883432050773198e-06,1.884345630332885e-06,0.00114657435737901,1.88341321664103e-06,1.884364473789189e-06
1,0.002062500000000008,0.0,0.01913407594787704,0.01912477513781233,-12.0,0.03826834323651357,0.03824974152337605,12.0,-0.001148471722981875,-1.913426728863653e-06,-1.912477513781233e-06,1.912496638556372e-06,1.913407594787704e-06,0.001146559648047207,1.912477513781232e-06,1.913426728863653e-06
1,0.002063500000000008,0.0,0.01942394021186952,0.0194146630958398,-12.0,0.03884807466314116,0.03882952033831055,12.0,-0.001148486031805216,-1.942413445127164e-06,-1.94146630958398e-06,1.941485724247076e-06,1.942394021186952e-06,0.00114654497417676,1.941466309583978e-06,1.942413445127164e-06
1,0.002064500000000008,0.0,0.01971303765196162,0.01970378459621042,-12.0,0.03942627243429976,0.03940776623026682,12.0,-0.001148500300061199,-1.971323478233814e-06,-1.970378459621043e-06,1.970398163405639e-06,1.971303765196161e-06,0.001146530336368586,1.970378459621044e-06,1.971323478233814e-06
1,0.0020655000000000083,0.0,0.02000135685508126,0.01999212822490427,-12.0,0.04000291372373108,0.03998445637109078,12.0,-0.001148514527208419,-2.000155686864982e-06,-1.999212822490427e-06,1.999232814618651e-06,2.000135685508126e-06,0.001146515735222442,1.999212822490428e-06,2.000155686864982e-06
1,0.0020665000000000084,0.0,0.02028888643888017,0.02027968259860703,-12.0,0.04057797576662472,0.04055956799404005,12.0,-0.001148528712707359,-2.028908932774456e-06,-2.027968259860703e-06,2.027988539543302e-06,2.028888643888017e-06,0.001146501171336904,2.027968259860701e-06,2.028908932774456e-06
1,0.0020675000000000086,0.0,0.02057561505218267,0.02056643636516587,-12.0,0.04115143586051587,0.04113307839469538,12.0,-0.001148542856020405,-2.057582080833321e-06,-2.056643636516587e-06,2.056664202952951e-06,2.057561505218267e-06,0.001146486645309333,2.056643636516587e-06,2.05758208083332e-06
1,0.0020685000000000087,0.0,0.02086153137543386,0.02085237820403161,-12.0,0.04172327136618148,0.04170496493184527,12.0,-0.001148556956611865,-2.086173999074762e-06,-2.085237820403161e-06,2.085258672781366e-06,2.086153137543387e-06,0.001146472157735856,2.085237820403161e-06,2.086173999074762e-06
1,0.002069500000000009,0.0,0.02114662412114708,0.02113749682671139,-12.0,0.04229345970853539,0.04227520502839105,12.0,-0.001148571013947989,-2.114683558738831e-06,-2.113749682671139e-06,2.113770820167966e-06,2.114662412114708e-06,0.001146457709211329,2.113749682671138e-06,2.114683558738831e-06
1,0.002070500000000009,0.0,0.02143088203434875,0.02142178097720905,-12.0,0.04286197837751785,0.04284377617222788,12.0,-0.001148585027496977,-2.14310963431691e-06,-2.142178097720906e-06,2.142199519501883e-06,2.143088203434875e-06,0.001146443300329322,2.142178097720903e-06,2.14310963431691e-06
1,0.002071500000000009,0.0,0.02171429389302332,0.02170521943247413,-12.0,0.04342880492898558,0.04341065591714259,12.0,-0.00114859899672901,-2.171451103596226e-06,-2.170521943247413e-06,2.170543648466846e-06,2.171429389302333e-06,0.00114642893168208,2.170521943247413e-06,2.171451103596225e-06
1,0.0020725000000000092,0.0,0.02199684850855575,0.02198780100284083,-12.0,0.04399391698559658,0.04397582188369169,12.0,-0.001148612921116258,-2.199706847704084e-06,-2.198780100284083e-06,2.198802088085087e-06,2.199684850855575e-06,0.001146414603860505,2.198780100284085e-06,2.199706847704084e-06
1,0.0020735000000000094,0.0,0.02227853472617385,0.02226951453247353,-12.0,0.04455729223769497,0.04453925176009239,12.0,-0.001148626800132897,-2.227875751152112e-06,-2.226951453247354e-06,2.226973722761885e-06,2.227853472617385e-06,0.001146400317454123,2.226951453247354e-06,2.227875751152112e-06
1,0.0020745000000000095,0.0,0.02255934142538768,0.0225503488998035,-12.0,0.04511890844418963,0.04510092330309599,12.0,-0.001148640633255132,-2.255956701880195e-06,-2.25503488998035e-06,2.255057440329249e-06,2.255934142538768e-06,0.001146386073051061,2.255034889980348e-06,2.255956701880195e-06
1,0.0020755000000000096,0.0,0.02283925752043007,0.02283029301797164,-12.0,0.04567874343343534,0.04566081433887346,12.0,-0.001148654419961208,-2.283948591300528e-06,-2.283029301797165e-06,2.283052132090182e-06,2.283925752043006e-06,0.001146371871238016,2.283029301797166e-06,2.283948591300527e-06
