case,time,v(out),v(vn),v(in),v(vp),i(vp),i(vin),i(rl),i(vn)
2,9.093000000000175e-05,-0.5745160625474137,-12.0,2.758229353146717,12.0,-0.001117705986201194,-2.758229353146718e-09,-5.745160625474137e-05,0.001175154588527388
2,9.095000000000175e-05,-0.5645451122822633,-12.0,2.810416889265177,12.0,-0.001118241774431386,-2.810416889265176e-09,-5.645451122822634e-05,0.001174693433925771
2,9.097000000000175e-05,-0.5545740975039196,-12.0,2.862160627977465,12.0,-0.001118777005171771,-2.862160627977466e-09,-5.545740975039196e-05,0.00117423171493913
2,9.099000000000176e-05,-0.5446031657696805,-12.0,2.913452398347377,12.0,-0.001119311491876773,-2.913452398347377e-09,-5.446031657696805e-05,0.001173769259769388
2,9.101000000000176e-05,-0.5346321702233114,-12.0,2.964284100809749,12.0,-0.0011198454172405,-2.964284100809749e-09,-5.346321702233115e-05,0.001173306236416996
2,9.103000000000176e-05,-0.5246612572475131,-12.0,3.014647708449503,12.0,-0.001120378602648922,-3.014647708449504e-09,-5.246612572475131e-05,0.001172842480898106
2,9.105000000000177e-05,-0.5146902811555711,-12.0,3.064535268269245,12.0,-0.001120911222917628,-3.064535268269246e-09,-5.146902811555711e-05,0.001172378153451739
2,9.107000000000177e-05,-0.5047193871654668,-12.0,3.113938902444907,12.0,-0.00112144310724931,-3.113938902444907e-09,-5.047193871654669e-05,0.001171913097794474
2,9.109000000000177e-05,-0.494748430750179,-12.0,3.162850809569948,12.0,-0.001121974422695179,-3.162850809569947e-09,-4.94748430750179e-05,0.001171447466517015
2,9.111000000000178e-05,-0.484777555972755,-12.0,3.211263265887199,12.0,-0.001122505006161224,-3.2112632658872e-09,-4.847775559727551e-05,0.001170981110923949
2,9.113000000000178e-05,-0.4748066194561301,-12.0,3.259168626508596,12.0,-0.001123035017046973,-3.259168626508596e-09,-4.748066194561301e-05,0.001170514176069431
2,9.115000000000178e-05,-0.4648357641181159,-12.0,3.30655932662244,12.0,-0.001123564299849694,-3.30655932662244e-09,-4.648357641181159e-05,0.001170046520734973
2,9.117000000000179e-05,-0.4548648477219556,-12.0,3.353427882687757,12.0,-0.001124093006428576,-3.353427882687758e-09,-4.548648477219556e-05,0.001169578282548604
2,9.119000000000179e-05,-0.4448940120498329,-12.0,3.399766893616203,12.0,-0.00112462098876151,-3.399766893616203e-09,-4.448940120498329e-05,0.001169109327659006
