case,time,v(in),v(out),v(base),v(vcc),i(vcc),i(rb),ic(q1),ib(q1),i(vin),i(rl)
3,0.0009296621439989734,0.0,4.99999999949795,5.00999900565624e-07,5.0,-5.020497906293997e-12,-5.009999005656241e-12,5.020493159495341e-12,-5.009999006731095e-12,5.009999003435795e-12,5.020499571628534e-12
3,0.0009298621439989734,0.0,4.999999999497949,5.009999006766463e-07,5.0,-5.020511784081805e-12,-5.009999006766464e-12,5.020506235688738e-12,-5.009999009181391e-12,5.009999004546018e-12,5.020508453412731e-12
3,0.0009300621439989734,0.0,4.99999999949795,5.009999012317579e-07,5.0,-5.020497906293997e-12,-5.009999012317579e-12,5.020493210356059e-12,-5.009999007880327e-12,5.009999010097133e-12,5.020499571628534e-12
3,0.0009302621439989734,0.0,4.999999999497949,5.009999013427802e-07,5.0,-5.020511784081805e-12,-5.009999013427802e-12,5.020506241336604e-12,-5.009999031234033e-12,5.009999014538025e-12,5.020508453412731e-12
3,0.0009304621439989734,0.0,4.99999999949795,5.009999010097133e-07,5.0,-5.020497906293997e-12,-5.009999010097133e-12,5.020493170421169e-12,-5.009999007880327e-12,5.009999010097133e-12,5.020499571628534e-12
3,0.0009306621439989734,0.0,4.999999999497949,5.009999006766463e-07,5.0,-5.020511784081805e-12,-5.009999006766464e-12,5.020506237938062e-12,-5.009999002979747e-12,5.009999007876687e-12,5.020508453412731e-12
3,0.0009308621439989734,0.0,4.99999999949795,5.00999900565624e-07,5.0,-5.020497906293997e-12,-5.009999005656241e-12,5.020493159495341e-12,-5.009999006731095e-12,5.009999003435795e-12,5.020499571628534e-12
3,0.0009310621439989734,0.0,4.999999999497949,5.009999006766463e-07,5.0,-5.020511784081805e-12,-5.009999006766464e-12,5.020506235688738e-12,-5.009999009181391e-12,5.009999004546018e-12,5.020508453412731e-12
3,0.0009312621439989734,0.0,4.99999999949795,5.009999012317579e-07,5.0,-5.020497906293997e-12,-5.009999012317579e-12,5.020493210356059e-12,-5.009999007880327e-12,5.009999010097133e-12,5.020499571628534e-12
3,0.0009314621439989734,0.0,4.999999999497949,5.009999013427802e-07,5.0,-5.020511784081805e-12,-5.009999013427802e-12,5.020506241336604e-12,-5.009999031234033e-12,5.009999014538025e-12,5.020508453412731e-12
3,0.0009316621439989734,0.0,4.99999999949795,5.009999010097133e-07,5.0,-5.020497906293997e-12,-5.009999010097133e-12,5.020493170421169e-12,-5.009999007880327e-12,5.009999010097133e-12,5.020499571628534e-12
3,0.0009318621439989734,0.0,4.999999999497949,5.009999006766463e-07,5.0,-5.020511784081805e-12,-5.009999006766464e-12,5.020506237938062e-12,-5.009999002979747e-12,5.009999007876687e-12,5.020508453412731e-12
3,0.0009320621439989734,0.0,4.99999999949795,5.00999900565624e-07,5.0,-5.020497906293997e-12,-5.009999005656241e-12,5.020493159495341e-12,-5.009999006731095e-12,5.009999003435795e-12,5.020499571628534e-12
3,0.0009322621439989734,0.0,4.999999999497949,5.009999006766463e-07,5.0,-5.020511784081805e-12,-5.009999006766464e-12,5.020506235688738e-12,-5.009999009181391e-12,5.009999004546018e-12,5.020508453412731e-12
3,0.0009324621439989734,0.0,4.99999999949795,5.009999012317579e-07,5.0,-5.020497906293997e-12,-5.009999012317579e-12,5.020493210356059e-12,-5.009999007880327e-12,5.009999010097133e-12,5.020499571628534e-12
3,0.0009326621439989735,0.0,4.999999999497949,5.009999013427802e-07,5.0,-5.020511784081805e-12,-5.009999013427802e-12,5.020506241336604e-12,-5.009999031234033e-12,5.009999014538025e-12,5.020508453412731e-12
3,0.0009328621439989735,0.0,4.99999999949795,5.009999010097133e-07,5.0,-5.020497906293997e-12,-5.009999010097133e-12,5.020493170421169e-12,-5.009999007880327e-12,5.009999010097133e-12,5.020499571628534e-12
3,0.0009330621439989735,0.0,4.999999999497949,5.009999006766463e-07,5.0,-5.020511784081805e-12,-5.009999006766464e-12,5.020506237938062e-12,-5.009999002979747e-12,5.009999007876687e-12,5.020508453412731e-12
3,0.0009332621439989735,0.0,4.99999999949795,5.00999900565624e-07,5.0,-5.020497906293997e-12,-5.009999005656241e-12,5.020493159495341e-12,-5.009999006731095e-12,5.009999003435795e-12,5.020499571628534e-12
3,0.0009334621439989735,0.0,4.999999999497949,5.009999006766463e-07,5.0,-5.020511784081805e-12,-5.009999006766464e-12,5.020506235688738e-12,-5.009999009181391e-12,5.009999004546018e-12,5.020508453412731e-12
3,0.0009336621439989735,0.0,4.99999999949795,5.009999012317579e-07,5.0,-5.020497906293997e-12,-5.009999012317579e-12,5.020493210356059e-12,-5.009999007880327e-12,5.009999010097133e-12,5.020499571628534e-12
3,0.0009338621439989735,0.0,4.999999999497949,5.009999013427802e-07,5.0,-5.020511784081805e-12,-5.009999013427802e-12,5.020506241336604e-12,-5.009999031234033e-12,5.009999014538025e-12,5.020508453412731e-12
3,0.0009340621439989735,0.0,4.99999999949795,5.009999010097133e-07,5.0,-5.020497906293997e-12,-5.009999010097133e-12,5.020493170421169e-12,-5.009999007880327e-12,5.009999010097133e-12,5.020499571628534e-12
3,0.0009342621439989735,0.0,4.999999999497949,5.009999006766463e-07,5.0,-5.020511784081805e-12,-5.009999006766464e-12,5.020506237938062e-12,-5.009999002979747e-12,5.009999007876687e-12,5.020508453412731e-12
3,0.0009344621439989735,0.0,4.99999999949795,5.00999900565624e-07,5.0,-5.020497906293997e-12,-5.009999005656241e-12,5.020493159495341e-12,-5.009999006731095e-12,5.009999003435795e-12,5.020499571628534e-12
3,0.0009346621439989735,0.0,4.999999999497949,5.009999006766463e-07,5.0,-5.020511784081805e-12,-5.009999006766464e-12,5.020506235688738e-12,-5.009999009181391e-12,5.009999004546018e-12,5.020508453412731e-12
3,0.0009348621439989735,0.0,4.99999999949795,5.009999012317579e-07,5.0,-5.020497906293997e-12,-5.009999012317579e-12,5.020493210356059e-12,-5.009999007880327e-12,5.009999010097133e-12,5.020499571628534e-12
3,0.0009350621439989735,0.0,4.999999999497949,5.009999013427802e-07,5.0,-5.020511784081805e-12,-5.009999013427802e-12,5.020506241336604e-12,-5.009999031234033e-12,5.009999014538025e-12,5.020508453412731e-12
3,0.0009352621439989735,0.0,4.99999999949795,5.009999010097133e-07,5.0,-5.020497906293997e-12,-5.009999010097133e-12,5.020493170421169e-12,-5.009999007880327e-12,5.009999010097133e-12,5.020499571628534e-12
3,0.0009354621439989735,0.0,4.999999999497949,5.009999006766463e-07,5.0,-5.020511784081805e-12,-5.009999006766464e-12,5.020506237938062e-12,-5.009999002979747e-12,5.009999007876687e-12,5.020508453412731e-12
3,0.0009356621439989735,0.0,4.99999999949795,5.00999900565624e-07,5.0,-5.020497906293997e-12,-5.009999005656241e-12,5.020493159495341e-12,-5.009999006731095e-12,5.009999003435795e-12,5.020499571628534e-12
3,0.0009358621439989735,0.0,4.999999999497949,5.009999006766463e-07,5.0,-5.020511784081805e-12,-5.009999006766464e-12,5.020506235688738e-12,-5.009999009181391e-12,5.009999004546018e-12,5.020508453412731e-12
3,0.0009360621439989735,0.0,4.99999999949795,5.009999012317579e-07,5.0,-5.020497906293997e-12,-5.009999012317579e-12,5.020493210356059e-12,-5.009999007880327e-12,5.009999010097133e-12,5.020499571628534e-12
3,0.0009362621439989735,0.0,4.999999999497949,5.009999013427802e-07,5.0,-5.020511784081805e-12,-5.009999013427802e-12,5.020506241336604e-12,-5.009999031234033e-12,5.009999014538025e-12,5.020508453412731e-12
3,0.0009364621439989735,0.0,4.99999999949795,5.009999010097133e-07,5.0,-5.020497906293997e-12,-5.009999010097133e-12,5.020493170421169e-12,-5.009999007880327e-12,5.009999010097133e-12,5.020499571628534e-12
3,0.0009366621439989736,0.0,4.999999999497949,5.009999006766463e-07,5.0,-5.020511784081805e-12,-5.009999006766464e-12,5.020506237938062e-12,-5.009999002979747e-12,5.009999007876687e-12,5.020508453412731e-12
3,0.0009368621439989736,0.0,4.99999999949795,5.00999900565624e-07,5.0,-5.020497906293997e-12,-5.009999005656241e-12,5.020493159495341e-12,-5.009999006731095e-12,5.009999003435795e-12,5.020499571628534e-12
3,0.0009370621439989736,0.0,4.999999999497949,5.009999006766463e-07,5.0,-5.020511784081805e-12,-5.009999006766464e-12,5.020506235688738e-12,-5.009999009181391e-12,5.009999004546018e-12,5.020508453412731e-12
3,0.0009372621439989736,0.0,4.99999999949795,5.009999012317579e-07,5.0,-5.020497906293997e-12,-5.009999012317579e-12,5.020493210356059e-12,-5.009999007880327e-12,5.009999010097133e-12,5.020499571628534e-12
3,0.0009374621439989736,0.0,4.999999999497949,5.009999013427802e-07,5.0,-5.020511784081805e-12,-5.009999013427802e-12,5.020506241336604e-12,-5.009999031234033e-12,5.009999014538025e-12,5.020508453412731e-12
3,0.0009376621439989736,0.0,4.99999999949795,5.009999010097133e-07,5.0,-5.020497906293997e-12,-5.009999010097133e-12,5.020493170421169e-12,-5.009999007880327e-12,5.009999010097133e-12,5.020499571628534e-12
3,0.0009378621439989736,0.0,4.999999999497949,5.009999006766463e-07,5.0,-5.020511784081805e-12,-5.009999006766464e-12,5.020506237938062e-12,-5.009999002979747e-12,5.009999007876687e-12,5.020508453412731e-12
3,0.0009380621439989736,0.0,4.99999999949795,5.00999900565624e-07,5.0,-5.020497906293997e-12,-5.009999005656241e-12,5.020493159495341e-12,-5.009999006731095e-12,5.009999003435795e-12,5.020499571628534e-12
