case,time,v(offset),v(sum),v(vn),v(in),v(out),v(vp),i(vp),i(v1),i(r1),i(r2),i(vn),i(v2),i(rf)
1,0.003420500000000188,-0.5,-1.801108871288259e-05,-12.0,0.09579966052874513,0.4041463060250053,12.0,-0.001167194059212621,-9.581767161745803e-06,9.581767161745802e-06,-4.999819889112871e-05,0.001126781680966627,4.999819889112871e-05,4.041643171137182e-05
1,0.0034215000000001883,-0.5,-1.807225461905593e-05,-12.0,0.09469468088225408,0.4052511021731662,12.0,-0.001167246373490891,-9.471275313687312e-06,9.471275313687314e-06,-4.99981927745381e-05,0.00112672352059429,4.99981927745381e-05,4.052691744277853e-05
1,0.003422500000000188,-0.5,-1.81327268689857e-05,-12.0,0.09358596285190507,0.4063596387861606,12.0,-0.001167298856813,-9.360409557877406e-06,9.360409557877406e-06,-4.99981867273131e-05,0.001126665155326188,4.99981867273131e-05,4.063777715130296e-05
1,0.003423500000000189,-0.5,-1.819250307547038e-05,-12.0,0.09247355020798877,0.4074718721008598,12.0,-0.001167351507026008,-9.249174271106422e-06,9.249174271106424e-06,-4.999818074969246e-05,0.001126606587385486,4.999818074969246e-05,4.074900646039353e-05
1,0.003424500000000189,-0.5,-1.825158087864764e-05,-12.0,0.09135748686664906,0.4085877582081993,12.0,-0.00116740432197104,-9.137573844752772e-06,9.137573844752772e-06,-4.999817484191214e-05,0.001126547819004037,4.999817484191214e-05,4.086060097890779e-05
1,0.003425500000000189,-0.5,-1.830995794602219e-05,-12.0,0.09023781688815757,0.4097072530549047,12.0,-0.001167457299483456,-9.025612684610356e-06,9.02561268461036e-06,-4.99981690042054e-05,0.001126488852422287,4.99981690042054e-05,4.097255630128508e-05
1,0.003426500000000189,-0.5,-1.836763197327063e-05,-12.0,0.08911458447516658,0.4108303124452372,12.0,-0.001167510437392872,-8.913295210713984e-06,8.913295210713985e-06,-4.999816323680267e-05,0.001126429689889252,4.999816323680268e-05,4.108486800772105e-05
1,0.003427500000000189,-0.5,-1.842460068307572e-05,-12.0,0.08798783397096976,0.411956892042735,12.0,-0.001167563733523325,-8.800625857165284e-06,8.800625857165284e-06,-4.999815753993169e-05,0.00112637033366237,4.999815753993169e-05,4.119753166434181e-05
1,0.003428500000000189,-0.5,-1.848086182681952e-05,-12.0,0.08685760985774707,0.4130869473719638,12.0,-0.001167617185693335,-8.687609071957393e-06,8.68760907195739e-06,-4.999815191381732e-05,0.00112631078600749,4.999815191381732e-05,4.131054282337907e-05
1,0.0034295000000001893,-0.5,-1.853641318305677e-05,-12.0,0.08572395675481125,0.4142204338202754,12.0,-0.001167670791716001,-8.574249316799434e-06,8.57424931679943e-06,-4.99981463586817e-05,0.001126251049198741,4.99981463586817e-05,4.142389702334585e-05
