case,frequency_real,frequency_imag,v(out)_real,v(out)_imag,v(sum)_real,v(sum)_imag,v(vn)_real,v(vn)_imag,v(in)_real,v(in)_imag,v(vp)_real,v(vp)_imag,i(vp)_real,i(vp)_imag,i(vin)_real,i(vin)_imag,i(cf)_real,i(cf)_imag,i(rf)_real,i(rf)_imag,i(vn)_real,i(vn)_imag,i(ri)_real,i(ri)_imag
1,6.309573444801917,0.0,-86.40783574875921,34.25780493113641,0.0001082467637347456,2.029919854545482e-05,0.0,0.0,1.0,0.0,0.0,0.0,4.956168737185741e-05,1.706135017064917e-07,-9.998917532362653e-05,2.029919854545482e-09,-1.358123121985681e-05,-3.425575469178411e-05,-8.640794399552293e-05,3.425778463193786e-05,4.956168737185741e-05,1.706135017064917e-07,9.998917532362653e-05,-2.029919854545482e-09
1,6.556418494179772,0.0,-85.48154090877698,35.21643763156212,0.0001087956184311942,2.086723481257081e-05,0.0,0.0,1.0,0.0,0.0,0.0,4.95663005815019e-05,1.753877620888823e-07,-9.998912043815689e-05,2.086723481257081e-09,-1.450747062496584e-05,-3.521433001997882e-05,-8.54816497043954e-05,3.52164167643273e-05,4.95663005815019e-05,1.753877620888823e-07,9.998912043815688e-05,-2.086723481257081e-09
1,6.812920690579594,0.0,-84.50339503705274,36.17544762354552,0.0001093751962635813,2.143549543773177e-05,0.0,0.0,1.0,0.0,0.0,0.0,4.957117202370821e-05,1.801639007466981e-07,-9.998906248037365e-05,2.143549543773177e-09,-1.548555795874943e-05,-3.617328261707081e-05,-8.4503504412249e-05,3.617542618805008e-05,4.957117202370821e-05,1.801639007466981e-07,9.998906248037365e-05,-2.143549543773177e-09
1,7.07945784384136,0.0,-83.47204593383705,37.13192727149363,0.0001099862984467589,2.200225759976231e-05,0.0,0.0,1.0,0.0,0.0,0.0,4.957630843264551e-05,1.849274383724352e-07,-9.998900137015533e-05,2.200225759976231e-09,-1.651684534003353e-05,-3.712970502147379e-05,-8.347215592013549e-05,3.713190526923603e-05,4.957630843264551e-05,1.849274383724352e-07,9.998900137015534e-05,-2.200225759976231e-09
1,7.356422544596393,0.0,-82.38632053088375,38.08274261900564,0.000110629620055328,2.256566437752769e-05,0.0,0.0,1.0,0.0,0.0,0.0,4.958171565163999e-05,1.896627658955727e-07,-9.998893703799447e-05,2.256566437752769e-09,-1.760250576686104e-05,-3.808046346433785e-05,-8.23864311605038e-05,3.808272005334126e-05,4.958171565163999e-05,1.896627658955727e-07,9.998893703799447e-05,-2.256566437752769e-09
1,7.644222742525981,0.0,-81.24525573431225,39.02454057271108,0.0001113057317484101,2.312372900659989e-05,0.0,0.0,1.0,0.0,0.0,0.0,4.958739847596721e-05,1.9435318378447e-07,-9.998886942682516e-05,2.31237290065999e-09,-1.874350227547546e-05,-3.902220505295769e-05,-8.1245367040044e-05,3.902451744898206e-05,4.958739847596721e-05,1.9435318378447e-07,9.998886942682516e-05,-2.31237290065999e-09
1,7.943282347242792,0.0,-80.04813004963721,39.95376026767448,0.0001120150610309635,2.367434161361675e-05,0.0,0.0,1.0,0.0,0.0,0.0,4.959336050008545e-05,1.989809586677445e-07,-9.99887984938969e-05,2.367434161361675e-09,-1.994055631718362e-05,-3.995136913549716e-05,-8.004824206469825e-05,3.995373659333286e-05,4.959336050008545e-05,1.989809586677445e-07,9.99887984938969e-05,-2.367434161361675e-09
1,8.25404185268016,0.0,-78.79449542827848,40.86664898337242,0.0001127578733838663,2.421527864697965e-05,0.0,0.0,1.0,0.0,0.0,0.0,4.959960395332267e-05,2.035274008278431e-07,-9.998872421266162e-05,2.421527864697965e-09,-2.11941159137519e-05,-4.086420321601381e-05,-7.879460818615186e-05,4.086662476809377e-05,4.959960395332267e-05,2.035274008278431e-07,9.998872421266162e-05,-2.421527864697965e-09
1,8.576958985908915,0.0,-77.4842086751178,41.75928290890744,0.0001135342536540919,2.474421518085742e-05,0.0,0.0,1.0,0.0,0.0,0.0,4.960612955066255e-05,2.079729685620133e-07,-9.998864657463459e-05,2.474421518085742e-09,-2.250432425172891e-05,-4.175678371842995e-05,-7.748432220937145e-05,4.175925816469226e-05,4.960612955066255e-05,2.079729685620133e-07,9.998864657463459e-05,-2.474421518085742e-09
1,8.912509381337427,0.0,-76.11746166341126,42.62759296145322,0.0001143440881515569,2.52587402133679e-05,0.0,0.0,1.0,0.0,0.0,0.0,4.961293633553687e-05,2.122973954138688e-07,-9.998856559118485e-05,2.52587402133679e-09,-2.387098946934138e-05,-4.262504180343295e-05,-7.61175760074994e-05,4.262756770271301e-05,4.961293633553687e-05,2.122973954138688e-07,9.998856559118484e-05,-2.52587402133679e-09
