case,vg,v(gate),v(drain),i(vd),id(j1),i(vg)
1,-0.27,-0.27,3.0,-0.004556690253271002,0.004556690253271,3.541999970726736e-12
1,-0.26,-0.26,3.0,-0.004609521003261001,0.004609521003261,3.521999956909689e-12
1,-0.25,-0.25,3.0,-0.004662656253250999,0.004662656253251,3.501999936570965e-12
1,-0.24,-0.24,3.0,-0.004716096003240999,0.004716096003241,3.481999906632317e-12
1,-0.23,-0.23,3.0,-0.004769840253231,0.004769840253231,3.46199986256256e-12
1,-0.22,-0.22,3.0,-0.004823889003220999,0.004823889003221,3.441999797691778e-12
1,-0.21,-0.21,3.0,-0.004878242253210999,0.004878242253211,3.42199970220184e-12
1,-0.2,-0.2,3.0,-0.004932900003201001,0.004932900003201001,3.401999561640437e-12
1,-0.1899999999999999,-0.1899999999999999,3.0,-0.004987862253191,0.004987862253191,3.381999354733734e-12
1,-0.1799999999999999,-0.1799999999999999,3.0,-0.005043129003181,0.005043129003181,3.3619990501666e-12
1,-0.1699999999999999,-0.1699999999999999,3.0,-0.005098700253171001,0.005098700253171001,3.341998601843093e-12
1,-0.1599999999999999,-0.1599999999999999,3.0,-0.005154576003161,0.005154576003161,3.321997941909877e-12
1,-0.1499999999999999,-0.1499999999999999,3.0,-0.005210756253151001,0.005210756253151001,3.301996970486696e-12
1,-0.1399999999999999,-0.1399999999999999,3.0,-0.005267241003141,0.005267241003141,3.28199554054958e-12
1,-0.1299999999999999,-0.1299999999999999,3.0,-0.005324030253131001,0.005324030253131001,3.261993435678919e-12
1,-0.1199999999999999,-0.1199999999999999,3.0,-0.005381124003121001,0.005381124003121001,3.241990337304557e-12
1,-0.1099999999999999,-0.1099999999999999,3.0,-0.005438522253110999,0.005438522253111,3.221985776490505e-12
1,-0.09999999999999987,-0.09999999999999987,3.0,-0.005496225003101002,0.005496225003101001,3.201979062961929e-12
1,-0.08999999999999986,-0.08999999999999986,3.0,-0.005554232253091001,0.005554232253091001,3.181969180632718e-12
1,-0.08000000000000007,-0.08000000000000007,3.0,-0.005612544003081,0.005612544003081,3.161954633821819e-12
1,-0.07000000000000006,-0.07000000000000006,3.0,-0.005671160253071,0.005671160253071,3.141933220883353e-12
1,-0.06000000000000005,-0.06000000000000005,3.0,-0.005730081003061,0.005730081003061,3.121901700989614e-12
