case,vtest,v(ref),v(out),v(vcc),i(vcc),ic(q1),ib(q1),i(vtest),i(rr),ic(q2),ib(q2)
1,2.275,4.307451987386258,2.275,5.0,-0.00864462193836757,-0.004250774988201252,-2.833850061390118e-05,0.00433716995098099,0.004307451987386258,-0.004337169950980895,-2.833849857144328e-05
1,2.3,4.307451987386409,2.3,5.0,-0.00864355924456972,-0.00425077498817629,-2.833850061370504e-05,0.004336107257183475,0.00430745198738641,-0.004336107257183416,-2.8338498596261e-05
1,2.325,4.307451987386559,2.325,5.0,-0.00864249655077276,-0.004250774988151914,-2.833850061354989e-05,0.004335044563386625,0.004307451987386559,-0.004335044563386526,-2.833849862109205e-05
1,2.35,4.307451987386707,2.35,5.0,-0.00864143385697691,-0.004250774988127677,-2.833850061339507e-05,0.004333981869589887,0.004307451987386707,-0.004333981869589765,-2.833849864593719e-05
1,2.375,4.307451987386856,2.375,5.0,-0.008640371163179283,-0.004250774988102887,-2.833850061320956e-05,0.004332919175792482,0.004307451987386857,-0.004332919175792459,-2.833849867077941e-05
1,2.4,4.307451987387005,2.4,5.0,-0.008639308469382767,-0.004250774988078482,-2.833850061306829e-05,0.004331856481995633,0.004307451987387006,-0.004331856481995606,-2.833849869561045e-05
1,2.425,4.307451987387155,2.425,5.0,-0.008638245775585807,-0.004250774988053967,-2.833850061291238e-05,0.004330793788198561,0.004307451987387155,-0.004330793788198572,-2.833849872046839e-05
1,2.45,4.307451987387304,2.45,5.0,-0.00863718308178929,-0.004250774988029411,-2.833850061272861e-05,0.004329731094401712,0.004307451987387304,-0.004329731094401578,-2.833849874528459e-05
1,2.475,4.307451987387455,2.475,5.0,-0.00863612038799233,-0.004250774988004753,-2.833850061260382e-05,0.00432866840060453,0.004307451987387455,-0.004328668400604462,-2.833849877014599e-05
1,2.5,4.307451987387604,2.5,5.0,-0.008635057694195591,-0.00425077498798039,-2.833850061240725e-05,0.00432760570680768,0.004307451987387604,-0.004327605706807645,-2.833849879497715e-05
1,2.525,4.307451987387752,2.525,5.0,-0.008633995000398631,-0.004250774987955877,-2.83385006122366e-05,0.00432654301301072,0.004307451987387753,-0.004326543013010706,-2.833849881979259e-05
1,2.55,4.307451987387902,2.55,5.0,-0.00863293230660167,-0.004250774987931335,-2.833850061209457e-05,0.004325480319213648,0.004307451987387902,-0.004325480319213748,-2.833849884465052e-05
1,2.575,4.30745198738805,2.575,5.0,-0.00863186961280471,-0.004250774987906699,-2.833850061190906e-05,0.004324417625416688,0.00430745198738805,-0.004324417625416696,-2.833849886947897e-05
1,2.6,4.307451987388199,2.6,5.0,-0.008630806919008638,-0.004250774987882295,-2.833850061175391e-05,0.004323354931619949,0.004307451987388199,-0.004323354931619915,-2.833849889430991e-05
1,2.625,4.307451987388349,2.625,5.0,-0.008629744225211233,-0.004250774987857637,-2.833850061158673e-05,0.004322292237822878,0.004307451987388349,-0.004322292237822862,-2.833849891914269e-05
1,2.65,4.307451987388498,2.65,5.0,-0.008628681531414939,-0.004250774987833246,-2.833850061144567e-05,0.004321229544026139,0.004307451987388499,-0.004321229544026118,-2.833849894398784e-05
1,2.675,4.307451987388649,2.675,5.0,-0.008627618837617979,-0.004250774987808728,-2.833850061127925e-05,0.004320166850229179,0.004307451987388649,-0.004320166850229256,-2.833849896882138e-05
1,2.7,4.307451987388797,2.7,5.0,-0.008626556143821462,-0.004250774987784218,-2.833850061109212e-05,0.004319104156432441,0.004307451987388797,-0.004319104156432392,-2.833849899366197e-05
1,2.725,4.307451987388945,2.725,5.0,-0.008625493450024502,-0.004250774987759691,-2.833850061093534e-05,0.004318041462635591,0.004307451987388945,-0.004318041462635537,-2.833849901849139e-05
1,2.75,4.307451987389095,2.75,5.0,-0.008624430756227985,-0.004250774987735158,-2.833850061078301e-05,0.004316978768838742,0.004307451987389095,-0.004316978768838684,-2.833849904332515e-05
1,2.775,4.307451987389244,2.775,5.0,-0.008623368062431691,-0.004250774987710646,-2.833850061062623e-05,0.004315916075042003,0.004307451987389244,-0.004315916075041882,-2.833849906816834e-05
1,2.8,4.307451987389395,2.8,5.0,-0.008622305368634287,-0.004250774987685823,-2.833850061045591e-05,0.00431485338124471,0.004307451987389395,-0.004314853381244748,-2.833849909299798e-05
1,2.825,4.307451987389542,2.825,5.0,-0.008621242674837326,-0.004250774987661327,-2.833850061027072e-05,0.004313790687447971,0.004307451987389542,-0.00431379068744796,-2.833849911784063e-05
1,2.85,4.30745198738969,2.85,5.0,-0.008620179981041476,-0.004250774987637076,-2.833850061014344e-05,0.004312727993651344,0.00430745198738969,-0.004312727993651443,-2.833849914269943e-05
1,2.875,4.307451987389841,2.875,5.0,-0.008619117287244737,-0.004250774987612555,-2.833850060997799e-05,0.004311665299854606,0.004307451987389841,-0.004311665299854689,-2.833849916752007e-05
1,2.9,4.307451987389989,2.9,5.0,-0.008618054593447777,-0.004250774987587729,-2.833850060980192e-05,0.004310602606057645,0.004307451987389989,-0.00431060260605761,-2.833849919235795e-05
1,2.925,4.30745198739014,2.925,5.0,-0.008616991899651927,-0.004250774987563499,-2.833850060962454e-05,0.00430953991226124,0.00430745198739014,-0.004309539912261141,-2.833849921718055e-05
1,2.95,4.30745198739029,2.95,5.0,-0.008615929205854966,-0.004250774987538994,-2.833850060948587e-05,0.004308477218464501,0.00430745198739029,-0.004308477218464415,-2.833849924202797e-05
1,2.975,4.307451987390438,2.975,5.0,-0.008614866512058006,-0.004250774987514304,-2.833850060931153e-05,0.004307414524667652,0.004307451987390438,-0.004307414524667533,-2.83384992668537e-05
1,3.0,4.307451987390587,3.0,5.0,-0.00861380381826149,-0.004250774987489943,-2.833850060912798e-05,0.004306351830870914,0.004307451987390586,-0.004306351830870952,-2.833849929168399e-05
1,3.025,4.307451987390736,3.025,5.0,-0.008612741124465417,-0.004250774987465429,-2.833850060898605e-05,0.004305289137074175,0.004307451987390735,-0.004305289137074267,-2.833849931652816e-05
1,3.05,4.307451987390887,3.05,5.0,-0.008611678430668235,-0.004250774987440742,-2.833850060884717e-05,0.004304226443277437,0.004307451987390887,-0.004304226443277434,-2.833849934137547e-05
