case,vin,v(c1),v(tail),v(vn),v(c2),v(in),v(vp),i(vp),i(vin),ic(q2),ib(q2),i(it),i(rc2),i(vn),ic(q1),ib(q1),i(rc1)
2,0.006000000000000005,9.400105271353448,-0.6314820527262892,-12.0,9.928302782717275,0.006000000000000005,12.0,-0.0009939557331764474,-3.371099639470361e-06,0.0004407866419750498,2.673167184082909e-06,0.001,0.000440786641975048,0.001,0.0005531690912014007,3.371099639470359e-06,0.000553169091201394
2,0.008000000000000007,9.313217734013099,-0.6303533450618025,-12.0,10.01519666272207,0.008000000000000007,12.0,-0.000993954383673353,-3.486593968455012e-06,0.0004222985823995544,2.559022358186571e-06,0.001,0.0004222985823995598,0.001,0.0005716558012738018,3.486593968455028e-06,0.0005716558012738087
2,0.009999999999999981,9.227294256418167,-0.6291883707938541,-12.0,10.10112810727816,0.009999999999999981,12.0,-0.0009939526885752482,-3.600992437905509e-06,0.0004040152963237953,2.446318986847729e-06,0.001,0.0004040152963237964,0.001,0.0005899373922514575,3.600992437905517e-06,0.0005899373922514538
2,0.01199999999999998,9.142556307985696,-0.6279875528055191,-12.0,10.18587556471834,0.01199999999999998,12.0,-0.0009939506653821222,-3.713993971325781e-06,0.0003859839224003504,2.335340646559995e-06,0.001,0.0003859839224003523,0.001,0.0006079667429817698,3.713993971325789e-06,0.0006079667429817668
2,0.01399999999999998,9.059213107221701,-0.626751399697507,-12.0,10.269229719801,0.01399999999999998,12.0,-0.0009939483346760264,-3.825312061902199e-06,0.0003682489957870228,2.226353262075261e-06,0.001,0.0003682489957870204,0.001,0.0006256993388890029,3.82531206190221e-06,0.0006256993388889997
2,0.01599999999999999,8.977459761671147,-0.6254805010760613,-12.0,10.3509953558244,0.01599999999999999,12.0,-0.0009939457196817972,-3.934677445792387e-06,0.0003508520519522576,2.11960287241218e-06,0.001,0.0003508520519522564,0.001,0.0006430936677295398,3.934677445792382e-06,0.0006430936677295432
2,0.01799999999999999,8.897475693792005,-0.6241755221897449,-12.0,10.43099293100556,0.01799999999999999,12.0,-0.0009939428457877478,-4.04184042010678e-06,0.0003338312912754085,2.01531379214903e-06,0.001,0.0003338312912754123,0.001,0.0006601115545123364,4.041840420106782e-06,0.0006601115545123393
2,0.01999999999999999,8.819423374065611,-0.6228371980081443,-12.0,10.50905984773592,0.01999999999999999,12.0,-0.0009939397400422348,-4.146572769495073e-06,0.0003172213089923586,1.913687188278605e-06,0.001,0.0003172213089923576,0.001,0.0006767184310498739,4.146572769495065e-06,0.00067671843104987
2,0.02199999999999999,8.74344737304391,-0.6214663268427977,-12.0,10.58505140293771,0.02199999999999999,12.0,-0.000993936430642206,-4.248669277585016e-06,0.0003010528929919765,1.814900080209868e-06,0.001,0.000301052892991977,0.001,0.0006928835376502318,4.248669277585017e-06,0.0006928835376502319
2,0.02399999999999999,8.669673734576925,-0.6200637636153542,-12.0,10.65884141720793,0.02399999999999999,12.0,-0.0009939329464287519,-4.347948812620919e-06,0.0002853528899557587,1.719104758627827e-06,0.001,0.0002853528899557601,0.001,0.0007085800564729941,4.347948812620923e-06,0.0007085800564729947
2,0.026,8.598209663551957,-0.6186304128800357,-12.0,10.73032254935235,0.026,12.0,-0.0009939293164033468,-4.444254988864704e-06,0.0002701441384356722,1.62642860779492e-06,0.001,0.0002701441384356699,0.001,0.000723785177967673,4.444254988864713e-06,0.0007237851779676687
2,0.028,8.529143513444707,-0.6171672217069247,-12.0,10.79940631095427,0.028,12.0,-0.0009939255692768124,-4.53745641680936e-06,0.0002554454657544096,1.536974306378747e-06,0.001,0.0002554454657544103,0.001,0.0007384801035224075,4.537456416809363e-06,0.0007384801035224028
2,0.03,8.462545052094098,-0.6156751725295605,-12.0,10.86602280252153,0.03,12.0,-0.0009939217330605088,-4.627446565662222e-06,0.0002412717441443565,1.450820373831802e-06,0.001,0.0002412717441443559,0.001,0.0007526499889161559,4.627446565662224e-06,0.0007526499889161493
