Cfilter,time,V(b),V(out),V(raw),V(a),I(D1),I(D3),I(D4),I(CFILTER),I(D2),I(RLOAD)
1e-12,0.0005914218775484802,-0.5789974646320863,1.048323032633992,1.637804232319876,1.627320497266094,0.001048349960174333,-2.354520522406951e-08,0.001048349960173108,3.382415115136944e-09,-2.354520578506936e-08,0.001048323032633992
1e-12,0.0006114218775484803,-0.5817831539482239,1.116129855726745,1.709074816632809,1.697913009674889,0.001116156974934057,-2.372085805745524e-08,0.001116156974935337,3.39841351329792e-09,-2.372085639024135e-08,0.001116129855726744
1e-12,0.0006314218775484803,-0.5844126997916281,1.184156347535658,1.780411105268373,1.768569047327333,0.001184182772969722,-2.302113387874296e-08,0.001184182772968267,3.404352032093934e-09,-2.302113499830227e-08,0.001184156347535658
1e-12,0.0006514218775484804,-0.586902073739223,1.252367955032901,1.85179420660515,1.839270028772143,0.001252394577598848,-2.320570342060386e-08,0.001252394577596686,3.416902458255358e-09,-2.320570402503108e-08,0.001252367955032901
1e-12,0.0006714218775484805,-0.5892647512335376,1.320735141678979,1.923207728841776,1.909999892912476,0.001320761077234778,-2.251569612704695e-08,0.001320761077234466,3.419892426967199e-09,-2.251569597433445e-08,0.001320735141678979
1e-12,0.0006914218775484805,-0.5915125282254781,1.389231630437456,1.994636963469304,1.980744158662996,0.001389257770429975,-2.271020271317214e-08,0.001389257770428322,3.429819064616627e-09,-2.271020260735668e-08,0.001389231630437456
1e-12,0.0007114218775484806,-0.5936555593536661,1.457834468257383,2.06606884720685,2.05149002761109,0.001457859929163696,-2.203041329760686e-08,0.001457859929163119,3.430516577685805e-09,-2.203041304937869e-08,0.001457834468257383
1e-12,0.0007314218775484806,-0.5957027914494359,1.526523027798383,2.137491528611422,2.12222581924791,0.001526548701256125,-2.223509598578172e-08,0.00152654870125302,3.438382692536325e-09,-2.223509598664464e-08,0.001526523027798383
1e-12,0.0007514218775484807,-0.5976620455577764,1.595278985080809,2.208894286171645,2.192941030638708,0.001595303987804719,-2.156549114079631e-08,0.00159530398780118,3.437249473851363e-09,-2.156549383514061e-08,0.001595278985080809
1e-12,0.0007714218775484807,-0.5995402610992078,1.664085696161786,2.280267284260394,2.263625957261033,0.001664110919767925,-2.178016899285073e-08,0.001664110919767322,3.443452504027337e-09,-2.178016877962818e-08,0.001664085696161786
1e-12,0.0007914218775484808,-0.6013435775592169,1.732928175429463,2.351601491559695,2.334271752988791,0.001732952736668292,-2.1120426442048e-08,0.001732952736660958,3.440821738264437e-09,-2.112042762902888e-08,0.001732928175429463
1e-12,0.0008114218775484808,-0.603077480783794,1.801792666084298,2.422888534879351,2.404870146868158,0.001801817456421606,-2.134469858163031e-08,0.001801817456420227,3.445649896062193e-09,-2.134469934134131e-08,0.001801792666084298
1e-12,0.0008314218775484809,-0.6047468713686817,1.870666644760814,2.494120630881683,2.475413516129542,0.001870690780867434,-2.069434754753952e-08,0.001870690780864429,3.441767432993939e-09,-2.069434845708429e-08,0.001870666644760814
1e-12,0.0008514218775484809,-0.6063561576716965,1.939538497527499,2.565290493183009,2.545894655199376,0.001939562870658662,-2.092770612228456e-08,0.001939562870651832,3.445434713253994e-09,-2.09277084550763e-08,0.001939538497527499
1e-12,0.000871421877548481,-0.6079093093625798,2.008397553886962,2.636391278917419,2.616306863249601,0.002008421280572659,-2.028620855308614e-08,0.002008421280573379,3.440485615986151e-09,-2.028620826877159e-08,0.002008397553886962
1e-12,0.000891421877548481,-0.6094099197655694,2.077233823513389,2.70741652650763,2.686643743278964,0.002077257794763643,-2.052810317708821e-08,0.002077257794763161,3.443154202993288e-09,-2.052810366137692e-08,0.002077233823513389
1e-12,0.0009114218775484811,-0.6108612466176693,2.146038055575703,2.778360115019949,2.756899302193439,0.002146061387751086,-1.989490073470668e-08,0.002146061387748957,3.437280300164643e-09,-1.989490128195825e-08,0.002146038055575704
1e-12,0.0009314218775484811,-0.6122662557637621,2.214801512408132,2.849216220582194,2.827067768171883,0.002214825096253925,-2.014477520940023e-08,0.002214825096254645,3.439075349842225e-09,-2.014477695766459e-08,0.002214801512408133
1e-12,0.0009514218775484812,-0.6136276518425925,2.28351604877009,2.919979285810542,2.897143700612717,0.002283539000467183,-1.951931612277347e-08,0.002283539000466832,3.432387112917355e-09,-1.951931727361966e-08,0.00228351604877009
1e-12,0.0009714218775484812,-0.6149479100567383,2.352173909137346,2.990643988152181,2.967121819194252,0.002352197119166455,-1.977662900652023e-08,0.002352197119159672,3.433406768694541e-09,-1.977662922314494e-08,0.002352173909137347
1e-12,0.0009914218775484813,-0.6162292992247211,2.420767822072567,3.061205216945604,3.036997121297361,0.002420790406445494,-1.915838294300138e-08,0.002420790406441682,3.425991520866858e-09,-1.915837932742193e-08,0.002420767822072567
1e-12,0.001011421877548481,-0.6174739055838527,2.489290813297639,3.131658049729956,3.10676471888152,0.002489313662226156,-1.942261857955595e-08,0.002489313662224126,3.426313860818823e-09,-1.942261684817481e-08,0.002489290813297639
1e-12,0.001031421877548481,-0.6186836501381698,2.557736311353173,3.201997735009068,3.176419961491471,0.002557758540675525,-1.881108433969638e-08,0.002557758540669306,3.418241561760018e-09,-1.881108380175078e-08,0.002557736311353173
1e-12,0.001051421877548481,-0.6198603069473667,2.62609797159649,3.27221967407427,3.245958278543885,0.002626120471282967,-1.908175821265827e-08,0.002626120471281041,3.417929517959766e-09,-1.90817561751544e-08,0.00262609797159649
1e-12,0.001071421877548481,-0.6210055162211732,2.69436979027572,3.342319408021521,3.315375306496902,0.002694391675996943,-1.847646712198184e-08,0.002694391675996475,3.409256912433847e-09,-1.847646702302086e-08,0.00269436979027572
1e-12,0.001091421877548482,-0.6221207986777886,2.762545936317106,3.412292603504252,3.384666734994939,0.002762568097802731,-1.875312784070767e-08,0.002762568097802185,3.408361820169971e-09,-1.87531279394193e-08,0.002762545936317106
1e-12,0.001111421877548482,-0.623207565458753,2.830620871689625,3.482135042929538,3.453828437148392,0.00283064242447173,-1.815364458530159e-08,0.002830642424467246,3.399135462223897e-09,-1.815364525370455e-08,0.002830620871689625
1e-12,0.001131421877548482,-0.6242671296172064,2.898589188880095,3.551842613080628,3.522856318497394,0.002898611022450481,-1.843587389047219e-08,0.002898611022444739,3.397699662354944e-09,-1.843587726924056e-08,0.002898589188880095
1e-12,0.001151421877548482,-0.6253007136378308,2.966445735994188,3.621411297707551,3.591746449632154,0.002966466965745873,-1.784179586419411e-08,0.002966466965738379,3.387958152854702e-09,-1.784179914920969e-08,0.002966445735994188
1e-12,0.001171421877548482,-0.6263094587909235,3.034185458463427,3.690837168283333,3.660494917254381,0.003034206973688836,-1.812920750339046e-08,0.003034206973685271,3.38601692909422e-09,-1.81292070244865e-08,0.003034185458463427
1e-12,0.001191421877548482,-0.6272944308307498,3.101803527746194,3.760116378415685,3.729097958577073,0.003101824443698664,-1.754016332275629e-08,0.003101824443689704,3.375792594147082e-09,-1.754016709654138e-08,0.003101803527746194
1e-12,0.001211421877548482,-0.6282566277377706,3.169295186232588,3.829245156214543,3.797551813970459,0.003169316392008792,-1.783240131715642e-08,0.003169316392003709,3.373375634499646e-09,-1.783240222152926e-08,0.003169295186232587
