case,time,v(drive),v(out),v(gate),v(vdd),i(vdd),i(rg),i(rl),i(cgs),i(vin),id(m1),i(cgd)
3,1.794676474169611e-05,0.0,11.99988133650712,0.02313753789245121,12.0,-9.888624414866598e-06,-4.922880402649193e-05,9.888624407021021e-06,-3.972452025375467e-05,4.922880402645131e-05,3.843405593784155e-07,-9.5042837724435e-06
3,1.795176474169611e-05,0.0,11.99988183897351,0.02303938960382235,12.0,-9.846752262676617e-06,-4.901997788047308e-05,9.846752207683569e-06,-3.879411076977701e-05,4.90199778801934e-05,-3.791150504639518e-07,-1.022586711041384e-05
3,1.795676474169612e-05,0.0,11.99988234110104,0.02294165801312209,12.0,-9.804908260857559e-06,-4.881203832579168e-05,9.804908246646704e-06,-3.939116192259659e-05,4.881203832571987e-05,3.840317397418858e-07,-9.420876402987943e-06
3,1.796176474169612e-05,0.0,11.99988283930639,0.02284434063578944,12.0,-9.763391126127452e-06,-4.860498007614775e-05,9.763391134528138e-06,-3.846273995418426e-05,4.860498007619121e-05,-3.788491298450936e-07,-1.014224012196863e-05
3,1.796676474169612e-05,0.0,11.99988333718924,0.02274743643136601,12.0,-9.721900887438295e-06,-4.839880091780002e-05,9.721900896468108e-06,-3.906062355045481e-05,4.839880091784726e-05,3.837234530124078e-07,-9.338177367368417e-06
3,1.797176474169612e-05,0.0,11.99988383116953,0.02265094293090764,12.0,-9.680735830741583e-06,-4.819349559767582e-05,9.680735872485968e-06,-3.813417671854821e-05,4.819349559788842e-05,-3.785830315905514e-07,-1.005931887920752e-05
3,1.797676474169612e-05,0.0,11.99988432484431,0.02255485910833332,12.0,-9.639596303845366e-06,-4.79890619326241e-05,9.639596307546109e-06,-3.873288125386468e-05,4.798906193264299e-05,3.834156103721398e-07,-9.256180678818282e-06
3,1.798176474169612e-05,0.0,11.99988481463653,0.02245918251014167,12.0,-9.598780299380216e-06,-4.778549470242909e-05,9.598780289425216e-06,-3.780839731118424e-05,4.778549470237901e-05,-3.783171109716932e-07,-9.977097390923007e-06
3,1.798676474169612e-05,0.0,11.99988530413923,0.02236391212422673,12.0,-9.557988369213177e-06,-4.758279175367389e-05,9.557988397190798e-06,-3.840791138631436e-05,4.758279175381562e-05,3.831080341853976e-07,-9.174880367890381e-06
3,1.799176474169612e-05,0.0,11.99988578977763,0.02226904551225362,12.0,-9.517518533619373e-06,-4.738094789841195e-05,9.51751853106586e-06,-3.74853781438568e-05,4.738094789839872e-05,-3.78051190352835e-07,-9.895569754725386e-06
3,1.799676474169612e-05,0.0,11.9998862751436,0.02217458167653641,12.0,-9.477071428065642e-06,-4.717996101390726e-05,9.477071366485271e-06,-3.808569055318775e-05,4.717996101359261e-05,3.828007244521814e-07,-9.094270460252574e-06
3,1.8e-05,0.0,11.99988658663012,0.02211367208416215,12.0,-9.451114142855488e-06,-4.705036613651522e-05,9.451114156622253e-06,-3.722154827104709e-05,4.705036613658513e-05,-3.777036461372063e-07,-9.828817865820128e-06
