case,frequency_real,frequency_imag,v(fb)_real,v(fb)_imag,v(out)_real,v(out)_imag,v(vn)_real,v(vn)_imag,v(in)_real,v(in)_imag,v(vp)_real,v(vp)_imag,i(vp)_real,i(vp)_imag,i(vin)_real,i(vin)_imag,i(rf)_real,i(rf)_imag,i(vn)_real,i(vn)_imag,i(rg)_real,i(rg)_imag
1,44.66835921509622,0.0,0.9999979778370811,-8.995608290926077e-05,1.99999695567214,-0.0001799122557746045,0.0,0.0,1.0,0.0,0.0,0.0,-0.0004999884195690529,4.497713570918697e-08,-1e-09,0.0,0.000999998977835059,-8.99561728653437e-08,-0.0004999884195690529,4.497713570918697e-08,0.0009999979778370811,-8.995608290926077e-08
1,46.41588833612769,0.0,0.9999979771915711,-9.347537205632284e-05,1.99999695438112,-0.0001869508375880177,0.0,0.0,1.0,0.0,0.0,0.0,-0.0004999884192462972,4.673674484786918e-08,-1e-09,0.0,0.0009999989771895485,-9.347546553169489e-08,-0.0004999884192462972,4.673674484786918e-08,0.0009999979771915712,-9.347537205632284e-08
1,48.23178482239296,0.0,0.9999979764945656,-9.713234389531802e-05,1.999996952987108,-0.0001942647849229799,0.0,0.0,1.0,0.0,0.0,0.0,-0.0004999884188977982,4.856519394622569e-08,-1e-09,0.0,0.000999998976492542,-9.713244102766194e-08,-0.0004999884188977982,4.856519394622569e-08,0.0009999979764945656,-9.713234389531802e-08
1,50.11872336272711,0.0,0.9999979757419559,-0.0001009323848894546,1.999996951481888,-0.0002018648707112941,0.0,0.0,1.0,0.0,0.0,0.0,-0.000499988418521502,5.046517618162469e-08,-1e-09,0.0,0.000999998975739932,-1.009324858218395e-07,-0.000499988418521502,5.046517618162469e-08,0.0009999979757419558,-1.009323848894546e-07
1,52.07948328595451,0.0,0.9999979749293071,-0.0001048810922326817,1.999996949856589,-0.0002097622893464555,0.0,0.0,1.0,0.0,0.0,0.0,-0.0004999884181151881,5.243949009468771e-08,-1e-09,0.0,0.0009999989749272821,-1.048811971137739e-07,-0.0004999884181151881,5.243949009468771e-08,0.000999997974929307,-1.048810922326817e-07
1,54.11695265464624,0.0,0.9999979740518289,-0.0001089842820939474,1.999996948101632,-0.0002179686731721768,0.0,0.0,1.0,0.0,0.0,0.0,-0.0004999884176764419,5.449104371131951e-08,-1e-09,0.0,0.000999998974049803,-1.089843910782295e-07,-0.0004999884176764419,5.449104371131951e-08,0.0009999979740518289,-1.089842820939474e-07
1,56.23413251903477,0.0,0.9999979731043499,-0.0001132479981839908,1.999996946206673,-0.0002264961096159799,0.0,0.0,1.0,0.0,0.0,0.0,-0.0004999884172027236,5.66228588260453e-08,-1e-09,0.0,0.000999998973102323,-1.13248111431989e-07,-0.0004999884172027236,5.66228588260453e-08,0.00099999797310435,-1.132479981839908e-07
1,58.43414133735162,0.0,0.9999979720812854,-0.0001176785206572841,1.999996944160543,-0.0002353571589930888,0.0,0.0,1.0,0.0,0.0,0.0,-0.0004999884166911883,5.883807545285888e-08,-1e-09,0.0,0.0009999989720792576,-1.176786383358047e-07,-0.0004999884166911883,5.883807545285888e-08,0.0009999979720812853,-1.176785206572841e-07
1,60.7202195690987,0.0,0.9999979709766059,-0.0001222823753622367,1.999996941951183,-0.0002445648730068488,0.0,0.0,1.0,0.0,0.0,0.0,-0.000499988416138894,6.113995645026644e-08,-1e-09,0.0,0.0009999989709745768,-1.222824976446121e-07,-0.000499988416138894,6.113995645026644e-08,0.0009999979709766058,-1.222823753622367e-07
1,63.09573444801917,0.0,0.9999979697838004,-0.0001270663434532879,1.999996939565571,-0.0002541328139729193,0.0,0.0,1.0,0.0,0.0,0.0,-0.0004999884155424822,6.353189232720583e-08,-1e-09,0.0,0.0009999989697817705,-1.270664705196314e-07,-0.0004999884155424822,6.353189232720583e-08,0.0009999979697838004,-1.270663434532879e-07
1,65.56418494179772,0.0,0.9999979684958387,-0.0001320374713790423,1.999996936989646,-0.000264075074795556,0.0,0.0,1.0,0.0,0.0,0.0,-0.0004999884148985112,6.601740623703255e-08,-1e-09,0.0,0.0009999989684938073,-1.320376034165137e-07,-0.0004999884148985112,6.601740623703255e-08,0.0009999979684958387,-1.320374713790423e-07
1,68.12920690579594,0.0,0.9999979671051297,-0.0001372030812611624,1.999996934208227,-0.0002744062997254061,0.0,0.0,1.0,0.0,0.0,0.0,-0.0004999884142031785,6.860015916685354e-08,-1e-09,0.0,0.0009999989671030972,-1.372032184642437e-07,-0.0004999884142031785,6.860015916685354e-08,0.0009999979671051298,-1.372030812611624e-07
1,70.7945784384136,0.0,0.9999979656034764,-0.0001425707816793038,1.999996931204918,-0.0002851417059293895,0.0,0.0,1.0,0.0,0.0,0.0,-0.0004999884134523902,7.128395532987782e-08,-1e-09,0.0,0.000999998965601442,-1.425709242500856e-07,-0.0004999884134523902,7.128395532987782e-08,0.0009999979656034764,-1.425707816793038e-07
1,73.56422544596393,0.0,0.9999979639820287,-0.0001481484788779784,1.999996927962022,-0.0002962971059044358,0.0,0.0,1.0,0.0,0.0,0.0,-0.0004999884126416637,7.407274776876815e-08,-1e-09,0.0,0.0009999989639799928,-1.481486270264574e-07,-0.0004999884126416637,7.407274776876815e-08,0.0009999979639820286,-1.481484788779784e-07
1,76.44222742525982,0.0,0.9999979622312295,-0.0001539443884118511,1.999996924460422,-0.0003078889307680907,0.0,0.0,1.0,0.0,0.0,0.0,-0.0004999884117662806,7.697064417813536e-08,-1e-09,0.0,0.0009999989622291921,-1.539445423562396e-07,-0.0004999884117662806,7.697064417813536e-08,0.0009999979622312295,-1.539443884118511e-07
