case,frequency_real,frequency_imag,v(gate)_real,v(gate)_imag,v(out)_real,v(out)_imag,v(vdd)_real,v(vdd)_imag,i(vdd)_real,i(vdd)_imag,id(m1)_real,id(m1)_imag,i(vin)_real,i(vin)_imag,i(rs)_real,i(rs)_imag
3,1359.356390878516,0.0,1.0,0.0,0.9398527623575057,-2.91372245446319e-05,0.0,0.0,-0.0004272058010699499,1.324419297478191e-08,0.0004272058010699499,-1.324419297478191e-08,0.0,0.0,0.0004272058010715935,-1.324419297483268e-08
3,1412.537544622744,0.0,1.0,0.0,0.9398527622854441,-3.027713989385911e-05,0.0,0.0,-0.0004272058010371907,1.376233631533751e-08,0.0004272058010371907,-1.376233631533751e-08,0.0,0.0,0.0004272058010388382,-1.37623363153905e-08
3,1467.799267622059,0.0,1.0,0.0,0.9398527622074176,-3.146165135742745e-05,0.0,0.0,-0.0004272058010033983,1.430075061701322e-08,0.0004272058010033983,-1.430075061701322e-08,0.0,0.0,0.0004272058010033716,-1.430075061701248e-08
3,1525.222956539008,0.0,1.0,0.0,0.9398527621234,-3.269250363806636e-05,0.0,0.0,-0.0004272058009652051,1.486022892639447e-08,0.0004272058009652051,-1.486022892639447e-08,0.0,0.0,0.0004272058009651818,-1.48602289263938e-08
3,1584.893192461102,0.0,1.0,0.0,0.9398527620326794,-3.397150969524801e-05,0.0,0.0,-0.0004272058009239708,1.544159531602254e-08,0.0004272058009239708,-1.544159531602254e-08,0.0,0.0,0.0004272058009239452,-1.544159531602182e-08
3,1646.897865482857,0.0,1.0,0.0,0.9398527619347219,-3.53005534156056e-05,0.0,0.0,-0.0004272058008794447,1.604570609800349e-08,0.0004272058008794447,-1.604570609800349e-08,0.0,0.0,0.000427205800879419,-1.604570609800255e-08
3,1711.328304161769,0.0,1.0,0.0,0.9398527618289496,-3.668159238775234e-05,0.0,0.0,-0.0004272058008313658,1.667345108534293e-08,0.0004272058008313658,-1.667345108534293e-08,0.0,0.0,0.0004272058008313407,-1.667345108534197e-08
3,1778.27941003891,0.0,1.0,0.0,0.9398527617147396,-3.811666078567191e-05,0.0,0.0,-0.0004272058007794488,1.732575490257911e-08,0.0004272058007794488,-1.732575490257911e-08,0.0,0.0,0.0004272058007794271,-1.732575490257814e-08
3,1847.849797422278,0.0,1.0,0.0,0.9398527615914181,-3.960787236491392e-05,0.0,0.0,-0.0004272058007233966,1.800357834768936e-08,0.0004272058007233966,-1.800357834768936e-08,0.0,0.0,0.0004272058007233718,-1.800357834768814e-08
3,1920.141938638787,0.0,1.0,0.0,0.9398527614582584,-4.115742357600748e-05,0.0,0.0,-0.0004272058006628721,1.870791980727693e-08,0.0004272058006628721,-1.870791980727693e-08,0.0,0.0,0.0004272058006628447,-1.870791980727613e-08
3,1995.262314968865,0.0,1.0,0.0,0.9398527613146922,-4.276759679969763e-05,0.0,0.0,-0.00042720580059594,1.943981672706034e-08,0.00042720580059594,-1.943981672706034e-08,0.0,0.0,0.0004272058005975874,-1.943981672713529e-08
3,2073.32157348594,0.0,1.0,0.0,0.9398527611594396,-4.444076370865425e-05,0.0,0.0,-0.0004272058005253714,2.020034714021993e-08,0.0004272058005253714,-2.020034714021993e-08,0.0,0.0,0.000427205800527018,-2.020034714029739e-08
3,2154.434690031867,0.0,1.0,0.0,0.9398527609915862,-4.617938876087316e-05,0.0,0.0,-0.0004272058004507458,2.09906312549438e-08,0.0004272058004507458,-2.09906312549438e-08,0.0,0.0,0.000427205800450721,-2.099063125494235e-08
3,2238.721138568323,0.0,1.0,0.0,0.9398527608105753,-4.798603282965661e-05,0.0,0.0,-0.0004272058003684657,2.181183310439042e-08,0.0004272058003684657,-2.181183310439042e-08,0.0,0.0,0.0004272058003684433,-2.181183310438937e-08
3,2326.305067153608,0.0,1.0,0.0,0.939852760615124,-4.986335697549325e-05,0.0,0.0,-0.0004272058002796262,2.266516226158916e-08,0.0004272058002796262,-2.266516226158916e-08,0.0,0.0,0.0004272058002796018,-2.266516226158784e-08
3,2417.315480804085,0.0,1.0,0.0,0.9398527604040805,-5.181412636569513e-05,0.0,0.0,-0.0004272058001837003,2.355187562077196e-08,0.0004272058001837003,-2.355187562077196e-08,0.0,0.0,0.000427205800183673,-2.355187562077051e-08
3,2511.886431509561,0.0,1.0,0.0,0.9398527601762011,-5.384121434727315e-05,0.0,0.0,-0.0004272058000801167,2.447327924876208e-08,0.0004272058000801167,-2.447327924876208e-08,0.0,0.0,0.0004272058000800914,-2.447327924876052e-08
3,2610.157215682516,0.0,1.0,0.0,0.9398527599301424,-5.594760667917423e-05,0.0,0.0,-0.0004272057999682726,2.543073030871705e-08,0.0004272057999682726,-2.543073030871705e-08,0.0,0.0,0.0004272057999682465,-2.543073030871556e-08
3,2712.272579332007,0.0,1.0,0.0,0.9398527596646703,-5.813640593011938e-05,0.0,0.0,-0.0004272057998459323,2.642563905904377e-08,0.0004272057998459323,-2.642563905904377e-08,0.0,0.0,0.0004272057998475774,-2.642563905914517e-08
3,2818.382931264432,0.0,1.0,0.0,0.9398527593775715,-6.041083604833458e-05,0.0,0.0,-0.000427205799717103,2.74594709310628e-08,0.000427205799717103,-2.74594709310628e-08,0.0,0.0,0.0004272057997170779,-2.745947093106117e-08
