case,time,v(out),v(sum),v(vn),v(drive),v(in),v(vp),i(vp),i(vin),i(rf),i(d1),i(vn),i(ri),i(d2),i(rl)
3,0.003783857780453983,1.955120725411559,4.074536231149714e-05,-12.0,2.490908205097332,-1.954914362345113,12.0,-0.001332585457338054,0.0001954955107707399,0.0001955079980049248,0.0003910200705425915,0.0009416028730057786,-0.0001954955107707425,1.248719343696641e-08,0.0001955120725411559
3,0.003784057780453983,1.954589907931428,4.09983809321808e-05,-12.0,2.490365431721868,-1.954382181964545,12.0,-0.001332535073705244,0.0001954423180345451,0.0001954548909550496,0.0003909138817492774,0.0009416587584010361,-0.0001954423180345477,1.257287950360013e-08,0.0001954589907931428
3,0.003784257780453984,1.954056004070354,4.125133016237105e-05,-12.0,2.489819499152644,-1.953846915347745,12.0,-0.001332484397546182,0.0001953888166677883,0.0001954014752740192,0.0003908070756808435,0.0009417149685157532,-0.0001953888166677907,1.265856497720914e-08,0.0001954056004070354
3,0.003784457780453984,1.953519014689451,4.150422632083038e-05,-12.0,2.489270408211135,-1.953308563339969,12.0,-0.001332433428805633,0.0001953350067566266,0.000195347751046313,0.0003906996525149253,0.0009417715031106214,-0.000195335006756629,1.274424817982117e-08,0.0001953519014689451
3,0.003784657780453984,1.95297894062139,4.175705235802976e-05,-12.0,2.488718159690108,-1.952767126791356,12.0,-0.001332382167702533,0.0001952808883843687,0.0001952937183569032,0.0003905916124202768,0.0009418283622416237,-0.0001952808883843715,1.282993077467013e-08,0.000195297894062139
3,0.003784857780453984,1.952435782737048,4.200982458231918e-05,-12.0,2.488162754420271,-1.952222606556904,12.0,-0.001332330614176986,0.0001952264616381455,0.0001952393772912466,0.0003904829555656519,0.0009418855456726849,-0.0001952264616381486,1.291561108812054e-08,0.0001952435782737048
3,0.003785057780453984,1.951889541878804,4.226252593649304e-05,-12.0,2.487604193203573,-1.951675003496483,12.0,-0.001332278768449287,0.0001951717266022395,0.0001951847279352868,0.0003903736821242454,0.0009419430534582061,-0.000195171726602242,1.300129078235599e-08,0.0001951889541878804
3,0.0037852577804539838,1.951340218927332,4.251517276362965e-05,-12.0,2.487042476879994,-1.951124318474835,12.0,-0.001332226630459125,0.0001951166833647575,0.0001951297703754569,0.000390263792269252,0.0009420008853622093,-0.0001951166833647599,1.308696818184366e-08,0.0001951340218927332
3,0.0037854577804539843,1.950787814734709,4.276774796955877e-05,-12.0,2.486477606260651,-1.950570552361569,12.0,-0.001332174200431734,0.000195061332010951,0.0001950745046986739,0.0003901532861738666,0.0009420590414348766,-0.0001950613320109538,1.317264495242631e-08,0.0001950787814734709
3,0.003785657780453984,1.95023233019131,4.302026789557714e-05,-12.0,2.485909582194697,-1.950013706031153,12.0,-0.001332121478305748,0.0001950056726299024,0.0001950189309923414,0.0003900421640112839,0.0009421175214410905,-0.0001950056726299048,1.325831941626719e-08,0.000195023233019131
3,0.003785857780453984,1.949673766159013,4.327271548827958e-05,-12.0,2.485338405502522,-1.949453780362925,12.0,-0.001332068464306348,0.0001949497053078388,0.0001949630493443525,0.0003899304259613601,0.0009421763254301727,-0.0001949497053078413,1.334399323839591e-08,0.0001949673766159013
3,0.003786057780453985,1.949112123537884,4.352510705161097e-05,-12.0,2.484764077042435,-1.948890776241086,12.0,-0.001332015158373915,0.0001948934301348111,0.0001949068598430832,0.0003898180721950695,0.0009422354531657706,-0.0001948934301348138,1.342966474443162e-08,0.0001949112123537884
3,0.0037862577804539848,1.94854740319951,4.377742553817552e-05,-12.0,2.484186597644003,-1.948324694554694,12.0,-0.001331961560731353,0.0001948368471980214,0.0001948503625773972,0.0003897051028989296,0.0009422949046981634,-0.0001948368471980232,1.351533559652401e-08,0.000194854740319951
3,0.0037864577804539853,1.947979606053738,4.402968728200658e-05,-12.0,2.483605968174782,-1.94775553619767,12.0,-0.001331907671328509,0.0001947799565884917,0.0001947935576366456,0.0003895915182394738,0.0009423546797841705,-0.0001947799565884951,1.360100412073269e-08,0.0001947979606053738
3,0.003786657780453985,1.947408732981788,4.428187517692419e-05,-12.0,2.483022189473438,-1.947183302068793,12.0,-0.001331853490381043,0.0001947227583943945,0.0001947364451106611,0.000389477318409881,0.0009424147784784984,-0.000194722758394397,1.368667198215504e-08,0.0001947408732981787
3,0.003786857780453985,1.946834784903291,4.45340056164479e-05,-12.0,2.482435262416777,-1.9466079930717,12.0,-0.001331799017839745,0.0001946652527077291,0.0001946790250897675,0.0003893625035833459,0.0009424752005372448,-0.0001946652527077316,1.377233750190398e-08,0.0001946834784903291
3,0.003787057780453985,1.946257762709204,4.478606148465148e-05,-12.0,2.481845187852658,-1.946029610114877,12.0,-0.001331744253927603,0.0001946074396176333,0.0001946212976647719,0.0003892470739330633,0.0009425359460091763,-0.0001946074396176362,1.385800234961698e-08,0.0001946257762709204
3,0.003787257780453985,1.945677667328762,4.503805912332205e-05,-12.0,2.481251966666958,-1.945448154111677,12.0,-0.001331689198590104,0.0001945493192170774,0.0001945632629269639,0.0003891310296588735,0.0009425970146541655,-0.0001945493192170801,1.394366484583099e-08,0.0001945677667328763
